pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
15-0,0-0,0-0,,118996,,,,,2,Ad,Rudy Quan,Near,,,,,,,,,,106,479,Crosscourt,Backhand,,,,,,,,,,-44,-329,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,120736,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-110,-532,Crosscourt,Forehand,,,,,,,,,,52,423,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,122271,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,98,497,Down the Line,Backhand,,,,,,,,,,12,-411,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,123655,,,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-54,-575,Crosscourt,Forehand,,,,,,,,,,79,426,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,125365,,,,,6,Ad,Rudy Quan,Near,,,,,,,,,,100,497,Crosscourt,Backhand,,,,,,,,,,-78,-294,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,126706,1,128088,,,7,Ad,Rudy Quan,Near,,,,,,,,,,-156,-532,Down the Line,Forehand,,,,,,,,,,-102,-14,,,,1,,,,,,,,,,,,,,,,
15-15,0-0,0-0,1,151942,,,,,1,Deuce,Rudy Quan,Near,1,Wide,-113,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,168083,,,,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-140,495,Down the Line,Forehand,,,,,,,,,,-108,-291,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,168676,,,,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-150,495,Down the Line,Forehand,,,,,,,,,,-113,-371,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,169371,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-129,-527,Crosscourt,Backhand,,,,,,,,,,47,391,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,169816,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-172,-529,Crosscourt,Backhand,,,,,,,,,,63,375,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,170691,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,98,481,Crosscourt,Backhand,,,,,,,,,,-126,-339,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,170970,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,68,492,Crosscourt,Backhand,,,,,,,,,,-126,-342,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,172131,,,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-193,-535,Crosscourt,Backhand,,,,,,,,,,124,389,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,172249,1,174338,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-212,-529,Crosscourt,Backhand,,,,,,,,,,172,405,,1,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,1,203892,,,,,1,Ad,Rudy Quan,Near,1,T,47,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,208362,,,,,2,Ad,Rudy Quan,Near,,,,,,,,,,36,489,Crosscourt,Forehand,,,,,,,,,,-17,-409,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,208363,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-20,-564,Crosscourt,Forehand,,,,,,,,,,55,311,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,209686,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,60,503,Down the Line,Backhand,,,,,,,,,,20,-339,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,211031,,,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-22,-524,Down the Line,Forehand,,,,,,,,,,-73,386,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,212453,,,,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-84,489,Crosscourt,Forehand,,,,,,,,,,92,-321,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,213708,,,,,7,Deuce,Rudy Quan,Near,,,,,,,,,,146,-529,Crosscourt,Forehand,,,,,,,,,,-9,293,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,214880,,,,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-33,521,Down the Line,Forehand,,,,,,,,,,-65,-331,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,216146,,,,,9,Ad,Rudy Quan,Near,,,,,,,,,,-110,-524,Crosscourt,Backhand,,,,,,,,,,50,213,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,217382,,,,,10,Ad,Rudy Quan,Near,,,,,,,,,,63,497,Crosscourt,Backhand,1,,,,,,,,,-30,-321,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,219340,,,,,11,Ad,Rudy Quan,Near,,,,,,,,,,-17,-476,Down the Line,Forehand,,,,,,,,,,-102,325,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,220785,,,,,12,Deuce,Rudy Quan,Near,,,,,,,,,,-156,516,Down the Line,Forehand,,,,,,,,,,-102,-283,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,222224,,,,,13,Ad,Rudy Quan,Near,,,,,,,,,,-100,-484,Crosscourt,Backhand,,,,,,,,,,84,383,,,,,,,,,,,,,,,,,,,,
15-30,0-0,0-0,,223607,1,225230,,,14,Ad,Rudy Quan,Near,,,,,,,,,,148,497,Crosscourt,Backhand,,,,,,,,,,-14,18,,,,1,,,,,,,,,,,,,,,,
30-30,0-0,0-0,1,253002,,,,,1,Deuce,Rudy Quan,Near,1,T,-41,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,256040,,,,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-116,513,Down the Line,Backhand,,,,,,,,,,-84,-326,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,257959,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-172,-543,Crosscourt,Backhand,,,,,,,,,,2,381,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,259171,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,15,497,Down the Line,Backhand,,,,,,,,,,60,-358,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,260973,,,,,5,Deuce,Rudy Quan,Near,,,,,,,,,,108,-508,Down the Line,Forehand,,,,,,,,,,95,258,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,262150,,,,,6,Ad,Rudy Quan,Near,,,,,,,,,,52,500,Down the Line,Backhand,,,,,,,,,,44,-177,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,263765,,,,,7,Deuce,Rudy Quan,Near,,,,,,,,,,39,-503,Down the Line,Forehand,,,,,,,,,,92,415,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,265364,,,,,8,Ad,Rudy Quan,Near,,,,,,,,,,100,457,Crosscourt,Backhand,,,,,,,,,,-52,-265,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,266832,,,,,9,Ad,Rudy Quan,Near,,,,,,,,,,-124,-519,Down the Line,Forehand,,,,,,,,,,-110,410,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,268359,1,269670,,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-137,492,Crosscourt,Forehand,,,,,,,,,,199,-371,,,1,,,,,,,,,,,,,,,,,
