pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,,69562.0,,,1,,13,Ad,Rudy Quan,Near,,,,,,,,,,-49.0,-529.0,Crosscourt,Forehand,,,,,,,,,,18.0,282.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Short
0-0,0-0,0-0,,70897.0,,,1,,14,Ad,Rudy Quan,Near,,,,,,,,,,31.0,519.0,Crosscourt,Backhand,,,,,,,,,,-118.0,-230.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
0-0,0-0,0-0,,72447.0,,,1,,15,Ad,Rudy Quan,Near,,,,,,,,,,-180.0,-516.0,Crosscourt,Backhand,,,,,,,,,,92.0,413.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,74342.0,,,1,,16,Ad,Rudy Quan,Near,,,,,,,,,,148.0,521.0,Crosscourt,Backhand,,,,,,,,,,-94.0,-267.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
0-0,0-0,0-0,,75590.0,,,1,,17,Ad,Rudy Quan,Near,,,,,,,,,,-172.0,-521.0,Crosscourt,Backhand,,,,,,,,,,28.0,439.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,77632.0,,,1,,18,Ad,Rudy Quan,Near,,,,,,,,,,63.0,489.0,Crosscourt,Backhand,,,,,,,,,,-46.0,-259.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
0-0,0-0,0-0,,78808.0,,,1,,19,Ad,Rudy Quan,Near,,,,,,,,,,-97.0,-516.0,Crosscourt,Backhand,,,,,,,,,,50.0,439.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,80112.0,,,1,,20,Ad,Rudy Quan,Near,,,,,,,,,,66.0,476.0,Crosscourt,Backhand,,,,,,,,,,-78.0,-294.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
0-0,0-0,0-0,,81354.0,,,1,,21,Ad,Rudy Quan,Near,,,,,,,,,,-68.0,-521.0,Crosscourt,Backhand,,,,,,,,,,63.0,418.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,82855.0,,,1,,22,Ad,Rudy Quan,Near,,,,,,,,,,114.0,476.0,Crosscourt,Backhand,,,,,,,,,,-33.0,-379.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Deep
0-0,0-0,0-0,,84175.0,,,1,,23,Ad,Rudy Quan,Near,,,,,,,,,,-65.0,-497.0,Crosscourt,Forehand,,,,,,,,,,60.0,367.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Deep
0-0,0-0,0-0,,85396.0,1.0,88104.0,1,,24,Ad,Rudy Quan,Near,,,,,,,,,,82.0,503.0,Down the Line,Backhand,1.0,,,,,,,,,132.0,2.0,,,,1.0,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,Rudy Quan,1,,,
15-0,0-0,0-0,1.0,116419.0,,,2,,1,Ad,Rudy Quan,Near,1.0,Body,71.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,1st Serve In,Body,
15-0,0-0,0-0,,118996.0,,,2,,2,Ad,Rudy Quan,Near,,,,,,,,,,106.0,479.0,Crosscourt,Backhand,,,,,,,,,,-44.0,-329.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-0,0-0,0-0,,120736.0,,,2,,3,Ad,Rudy Quan,Near,,,,,,,,,,-110.0,-532.0,Crosscourt,Forehand,,,,,,,,,,52.0,423.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Deep
15-0,0-0,0-0,,122271.0,,,2,,4,Ad,Rudy Quan,Near,,,,,,,,,,98.0,497.0,Down the Line,Backhand,,,,,,,,,,12.0,-411.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Deep
15-0,0-0,0-0,,123655.0,,,2,,5,Ad,Rudy Quan,Near,,,,,,,,,,-54.0,-575.0,Crosscourt,Forehand,,,,,,,,,,79.0,426.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Deep
15-0,0-0,0-0,,125365.0,,,2,,6,Ad,Rudy Quan,Near,,,,,,,,,,100.0,497.0,Crosscourt,Backhand,,,,,,,,,,-78.0,-294.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-0,0-0,0-0,,126706.0,1.0,128088.0,2,,7,Ad,Rudy Quan,Near,,,,,,,,,,-156.0,-532.0,Down the Line,Forehand,,,,,,,,,,-102.0,-14.0,,,,1.0,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,1.0,,Aristotelis Thanos,1,,,
15-15,0-0,0-0,1.0,151942.0,,,3,,1,Deuce,Rudy Quan,Near,1.0,Wide,-113.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,1st Serve In,Wide,
15-15,0-0,0-0,,168083.0,,,3,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-140.0,495.0,Down the Line,Forehand,,,,,,,,,,-108.0,-291.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-15,0-0,0-0,,168676.0,,,3,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-150.0,495.0,Down the Line,Forehand,,,,,,,,,,-113.0,-371.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Deep
15-15,0-0,0-0,,169371.0,,,3,,3,Ad,Rudy Quan,Near,,,,,,,,,,-129.0,-527.0,Crosscourt,Backhand,,,,,,,,,,47.0,391.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
15-15,0-0,0-0,,169816.0,,,3,,3,Ad,Rudy Quan,Near,,,,,,,,,,-172.0,-529.0,Crosscourt,Backhand,,,,,,,,,,63.0,375.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
15-15,0-0,0-0,,170691.0,,,3,,4,Ad,Rudy Quan,Near,,,,,,,,,,98.0,481.0,Crosscourt,Backhand,,,,,,,,,,-126.0,-339.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-15,0-0,0-0,,170970.0,,,3,,4,Ad,Rudy Quan,Near,,,,,,,,,,68.0,492.0,Crosscourt,Backhand,,,,,,,,,,-126.0,-342.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-15,0-0,0-0,,172131.0,,,3,,5,Ad,Rudy Quan,Near,,,,,,,,,,-193.0,-535.0,Crosscourt,Backhand,,,,,,,,,,124.0,389.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
15-15,0-0,0-0,,172249.0,1.0,174338.0,3,,5,Ad,Rudy Quan,Near,,,,,,,,,,-212.0,-529.0,Crosscourt,Backhand,,,,,,,,,,172.0,405.0,,1.0,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,Aristotelis Thanos,1,,,
15-30,0-0,0-0,1.0,203892.0,,,4,,1,Ad,Rudy Quan,Near,1.0,T,47.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,1st Serve In,T,
15-30,0-0,0-0,,208362.0,,,4,,2,Ad,Rudy Quan,Near,,,,,,,,,,36.0,489.0,Crosscourt,Forehand,,,,,,,,,,-17.0,-409.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,1.0,,,,,,,Deep
15-30,0-0,0-0,,208363.0,,,4,,3,Ad,Rudy Quan,Near,,,,,,,,,,-20.0,-564.0,Crosscourt,Forehand,,,,,,,,,,55.0,311.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Short
15-30,0-0,0-0,,209686.0,,,4,,4,Ad,Rudy Quan,Near,,,,,,,,,,60.0,503.0,Down the Line,Backhand,,,,,,,,,,20.0,-339.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-30,0-0,0-0,,211031.0,,,4,,5,Ad,Rudy Quan,Near,,,,,,,,,,-22.0,-524.0,Down the Line,Forehand,,,,,,,,,,-73.0,386.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,1.0,,,,,,Deep
15-30,0-0,0-0,,212453.0,,,4,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-84.0,489.0,Crosscourt,Forehand,,,,,,,,,,92.0,-321.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-30,0-0,0-0,,213708.0,,,4,,7,Deuce,Rudy Quan,Near,,,,,,,,,,146.0,-529.0,Crosscourt,Forehand,,,,,,,,,,-9.0,293.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Short
15-30,0-0,0-0,,214880.0,,,4,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-33.0,521.0,Down the Line,Forehand,,,,,,,,,,-65.0,-331.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-30,0-0,0-0,,216146.0,,,4,,9,Ad,Rudy Quan,Near,,,,,,,,,,-110.0,-524.0,Crosscourt,Backhand,,,,,,,,,,50.0,213.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Short
15-30,0-0,0-0,,217382.0,,,4,,10,Ad,Rudy Quan,Near,,,,,,,,,,63.0,497.0,Crosscourt,Backhand,1.0,,,,,,,,,-30.0,-321.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
15-30,0-0,0-0,,219340.0,,,4,,11,Ad,Rudy Quan,Near,,,,,,,,,,-17.0,-476.0,Down the Line,Forehand,,,,,,,,,,-102.0,325.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,1.0,,,,,,Short
15-30,0-0,0-0,,220785.0,,,4,,12,Deuce,Rudy Quan,Near,,,,,,,,,,-156.0,516.0,Down the Line,Forehand,,,,,,,,,,-102.0,-283.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
