Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2023-07-12,3rd round,Kaylan Bigun,Yi Zhou,"7-63, 6-4",Wimbledon (juniors),,,,,,,,,,,,,,,,
2023-07-13,1/4,Darwin Blanch,Kaylan Bigun,"7-63, 6-3",Wimbledon (juniors),,,,,,,,,,,,,,,,
2023-09-03,1st round,Arthur Gea,Kaylan Bigun,"6-0, 6-4",U.S. Open,,,,,,,,,,,,,,,,
2023-10-03,1st round,Matt Kuhar,Kaylan Bigun,"6-3, 4-6, 7-66",M15 Ithaca,62/101,47/98,40/62,31/47,16/39,22/51,7/8,6/15,45/98,45/101,101/199,98/199,8,7,3,3
2023-10-18,1st round,Ryan Dickerson,Kaylan Bigun,"7-61, 6-76, 6-3",M15 Las,64/96,71/136,45/64,50/71,19/32,28/65,6/14,4/7,58/136,32/96,122/232,110/232,3,9,1,8
2023-10-25,1st round,Kaylan Bigun,Siphosothando Montsi,"7-61, 3-6, 6-4",M15 Norman,65/113,63/94,47/65,38/63,22/48,15/31,4/8,5/15,41/94,44/113,110/207,97/207,11,4,5,2
2023-10-26,2nd round,Alexander Razeghi,Kaylan Bigun,"6-2, 7-67",M15 Norman,41/63,42/64,29/41,28/42,11/22,7/22,4/4,2/2,29/64,23/63,69/127,58/127,5,2,2,7
2023-11-01,1st round,Sebastian Dominko,Kaylan Bigun,"6-3, 7-65",M15 Fayetteville,39/65,40/70,31/39,27/40,15/26,14/30,2/5,1/1,29/70,19/65,75/135,60/135,3,4,8,3
2022-02-21,q 1,Joao Victor Couto Loureiro,Kaylan Bigun,"7-5, 6-4",M15 Naples,,,,,,,,,,,,,,,,
2022-04-25,q 1,Kaylan Bigun,Fabian Hansch Mauritzson,"6-1, 6-1",M15 Vero,,,,,,,,,,,,,,,,
2022-04-26,qual.,Alvaro Guillen Meza,Kaylan Bigun,"6-2, 6-4",M15 Vero,,,,,,,,,,,,,,,,
2022-07-06,1st round,Kaylan Bigun,Jakub Ostajewski,"6-3, 6-3",M15 Waco,24/59,40/71,16/24,23/40,18/35,10/31,5/15,2/4,38/71,25/59,72/130,58/130,5,4,4,9
2022-07-07,2nd round,Shunsuke Mitsui,Kaylan Bigun,"6-2, 6-4",M15 Waco,40/81,31/65,26/40,22/31,23/41,13/34,4/12,1/11,30/65,32/81,79/146,67/146,4,9,3,5
2022-07-12,1st round,Fernando Yamacita,Kaylan Bigun,"7-5, 6-2",M15 Cancun,32/62,34/56,25/32,16/34,15/30,9/22,5/8,2/3,31/56,22/62,71/118,47/118,3,5,2,1
2022-08-17,1st round,Tennys Sandgren,Kaylan Bigun,"6-4, 6-1",M15 Memphis,36/60,24/56,30/36,14/24,11/24,15/32,4/7,0/6,27/56,19/60,68/116,48/116,4,4,14,2
2022-09-04,1st round,Adolfo Daniel Vallejo,Kaylan Bigun,"6-2, 6-2",U.S. Open,,,,,,,,,,,,,,,,
2022-10-19,1st round,Yassine Dlimi,Kaylan Bigun,"6-1, 6-2",M15 Antalya,26/51,22/54,16/26,9/22,13/25,10/32,7/10,2/9,35/54,22/51,64/105,41/105,0,4,1,1
2022-10-25,1st round,Kaylan Bigun,Denys Klok,"3-6, 6-4, 6-0",M15 Antalya,50/79,61/92,30/50,33/61,15/29,10/31,7/21,5/9,49/92,34/79,94/171,77/171,5,1,2,2
2022-10-27,2nd round,Peter Heller,Kaylan Bigun,"6-2, 6-2",M15 Antalya,25/50,33/63,20/25,21/33,15/25,10/30,4/13,0/1,32/63,15/50,67/113,46/113,0,2,2,1
