Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2024-06-04,q 1,Cassius Chinlund,Bradley Paliska,"6-4, 6-1",M15 Santo,,,,,,,,,,,,,,,,
2024-06-05,q 2,Jelani Sarr,Cassius Chinlund,"6-4, 6-3",M15 Santo,,,,,,,,,,,,,,,,
2024-06-09,q 1,Cassius Chinlund,Enrique Pena,"6-2, 6-1",M15 Santo,,,,,,,,,,,,,,,,
2024-06-10,q 2,Spencer Gray,Cassius Chinlund,"6-3,    - retired",M15 Santo,,,,,,,,,,,,,,,,
2024-12-08,q 1,Cassius Chinlund,Juan Pablo Valdez Guzon,- walk over,M15 Huamantla,,,,,,,,,,,,,,,,
2024-12-09,qual.,Juan Jose Bianchi,Cassius Chinlund,"6-2, 6-2",M15 Huamantla,,,,,,,,,,,,,,,,
2023-06-21,1st round,Kai Brady,Cassius Chinlund,"6-1, 6-3",M15 Los,23/44,32/53,18/23,20/32,11/21,4/21,29/53,15/44,58/97,39/97,1,1,1,1,5/10,1/1
2023-09-11,q 1,Charlelie Cosnet,Cassius Chinlund,"4-6, 6-1, 10-6",M15 Champaign,,,,,,,,,,,,,,,,
