Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2019-01-04,1/4,Emilio Gomez,Govind Nanda,"6-4, 7-66",M25 Los,57/85,44/80,36/57,26/44,12/28,17/36,4/11,3/12,37/80,37/85,85/165,80/165,1,1,1,3
2019-01-09,1st round,Govind Nanda,Manuel Guinard,"6-3, 3-6, 6-4",M25 Tucson,42/83,48/87,30/42,31/48,20/41,20/39,5/5,4/8,36/87,33/83,86/170,84/170,6,7,4,7
2019-01-10,2nd round,Govind Nanda,Alexander Cozbinov,"6-4, 6-3",M25 Tucson,33/66,44/65,25/33,26/44,19/33,9/21,4/5,1/9,30/65,22/66,74/131,57/131,1,1,2,3
2019-01-11,1/4,Govind Nanda,Felix Corwin,"6-3, 7-64",M25 Tucson,35/66,43/67,27/35,29/43,22/31,16/24,,,22/67,17/66,71/133,62/133,3,3,2,7
2019-01-12,1/2,Govind Nanda,Michail Pervolarakis,"6-3, 7-5",M25 Tucson,43/86,39/67,32/43,26/39,22/43,12/28,3/11,1/8,29/67,32/86,83/153,70/153,1,4,4,2
2019-01-13,fin,Govind Nanda,Martin Redlicki,"4-6, 7-62, 6-0",M25 Tucson,56/98,53/82,45/56,39/53,22/42,13/29,3/5,1/8,30/82,31/98,97/180,83/180,3,5,9,4
2019-03-18,q 1,Govind Nanda,Alec Adamson,"6-4, 6-4",M25 Calabasas,,,,,,,,,,,,,,,,
2019-03-19,qual.,Ryan Peniston,Govind Nanda,"6-1, 6-2",M25 Calabasas,29/42,20/52,21/29,11/20,7/13,10/32,6/9,1/6,31/52,14/42,59/94,35/94,2,4,,
2019-06-03,1st round,Harold Mayot,Govind Nanda,"6-3, 6-3",French Open,,,,,,,,,,,,,,,,
2019-07-06,1st round,Govind Nanda,Rinky Hijikata,"6-2, 7-5",Wimbledon (juniors),,,,,,,,,,,,,,,,
2019-07-09,2nd round,Anton Matusevich,Govind Nanda,"6-3, 6-3",Wimbledon (juniors),,,,,,,,,,,,,,,,
2019-07-24,1st round,Govind Nanda,Alfredo Perez,"4-6, 7-62, 6-0",M25 Champaign,44/91,54/82,28/44,27/54,27/47,12/28,6/7,4/9,43/82,36/91,98/173,75/173,1,1,6,4
2019-07-25,2nd round,Jenson Brooksby,Govind Nanda,"4-6, 7-5, 6-2",M25 Champaign,60/82,55/93,39/60,34/55,13/22,18/38,5/8,3/4,41/93,30/82,93/175,82/175,0,2,3,6
2019-08-19,q 1,Oscar Otte,Govind Nanda,"7-64, 6-1",New York,36/68,36/67,28/36,25/36,14/32,11/31,5/8,2/4,31/67,26/68,73/135,62/135,8,4,1,5
2019-09-03,1st round,Govind Nanda,Eric Vanshelboim,"7-5, 6-2",U.S. Open,,,,,,,,,,,,,,,,
2019-09-04,2nd round,Peter Makk,Govind Nanda,"7-62, 6-4",U.S. Open,,,,,,,,,,,,,,,,
2019-09-18,1st round,Ricardo Rodriguez-Pace,Govind Nanda,"6-1, 6-3",M25 Houston,,,,,,,,,,,,,,,,
2019-09-25,1st round,Govind Nanda,Connor Farren,"6-2, 1-6, 6-4",M25 Harlingen,41/81,44/75,27/41,26/44,22/40,14/31,4/9,4/12,35/75,32/81,84/156,72/156,6,4,7,5
