Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2021-04-15,3rd round,Daniel Evans,Novak Djokovic,"6-4, 7-5",Monte-Carlo,60/95,37/65,37/60,21/37,16/35,13/28,31/65,42/95,84/160,76/160,0,4,1,3,5/7,3/10
2021-04-21,2nd round,Novak Djokovic,Soon-Woo Kwon,"6-1, 6-3",Belgrade,27/39,28/56,22/27,15/28,7/12,10/28,31/56,10/39,60/95,35/95,2,3,2,3,5/8,1/1
2021-04-23,1/4,Novak Djokovic,Miomir Kecmanovic,"6-1, 6-3",Belgrade,32/55,30/51,24/32,11/30,13/23,12/21,28/51,18/55,65/106,41/106,1,2,3,1,5/10,1/5
2021-04-24,1/2,Aslan Karatsev,Novak Djokovic,"7-5, 4-6, 6-4",Belgrade,85/135,72/116,54/85,44/72,22/50,21/44,51/116,59/135,127/251,124/251,4,6,6,2,6/16,5/28
2021-05-11,2nd round,Novak Djokovic,Taylor Harry Fritz,"6-3, 7-65",Rome,45/77,33/64,34/45,20/33,14/32,16/31,28/64,29/77,76/141,65/141,1,4,3,4,3/6,2/7
2021-05-13,3rd round,Novak Djokovic,Alejandro Davidovich Fokina,"6-2, 6-1",Rome,33/50,37/54,23/33,17/37,11/17,7/17,30/54,16/50,64/104,40/104,1,3,4,0,5/10,1/4
2021-05-15,1/4,Novak Djokovic,Stefanos Tsitsipas,"4-6, 7-5, 7-5",Rome,78/112,90/141,54/78,52/90,15/34,24/51,65/141,43/112,134/253,119/253,6,1,4,5,6/23,5/14
2021-05-15,1/2,Novak Djokovic,Lorenzo Sonego,"6-3, 6-75, 6-2",Rome,66/95,70/99,52/66,44/70,17/29,16/29,39/99,26/95,108/194,86/194,2,3,5,3,4/12,1/7
2021-05-16,fin,Rafael Nadal,Novak Djokovic,"7-5, 1-6, 6-3",Rome,72/96,63/95,47/72,41/63,11/24,15/32,39/95,38/96,97/191,94/191,1,4,3,5,3/6,3/8
2021-05-25,2nd round,Novak Djokovic,Mats Moraing,"6-2, 7-64",Belgrade,41/70,36/72,29/41,22/36,16/29,14/36,36/72,25/70,81/142,61/142,3,1,6,3,4/10,2/5
2021-05-27,1/4,Novak Djokovic,Federico Coria,"6-1, 6-0",Belgrade,19/32,21/43,13/19,9/21,11/13,5/22,29/43,8/32,53/75,22/75,1,3,3,0,6/9,1/1
2021-05-28,1/2,Novak Djokovic,Andrej Martin,"6-1, 4-6, 6-0",Belgrade,47/73,45/72,28/47,22/45,18/26,10/27,40/72,27/73,86/145,59/145,1,3,1,0,7/11,3/10
2021-05-29,fin,Novak Djokovic,Alex Molcan,"6-4, 6-3",Belgrade,27/49,36/62,19/27,19/36,10/22,9/26,34/62,20/49,63/111,48/111,3,0,2,1,6/8,4/5
2021-06-01,1st round,Novak Djokovic,Tennys Sandgren,"6-2, 6-4, 6-2",Paris,49/73,56/94,42/49,30/56,13/24,20/38,44/94,18/73,99/167,68/167,2,1,4,5,5/11,0/6
2021-06-03,2nd round,Novak Djokovic,Pablo Cuevas,"6-3, 6-2, 6-4",Paris,64/94,47/74,48/64,30/47,17/30,11/27,33/74,29/94,98/168,70/168,3,3,10,5,5/8,1/9
2021-06-05,3rd round,Novak Djokovic,Ricardas Berankis,"6-1, 6-4, 6-1",Paris,42/67,53/75,37/42,31/53,13/25,7/22,37/75,17/67,87/142,55/142,3,3,5,1,,
2021-06-07,4th round,Novak Djokovic,Lorenzo Musetti,"6-77, 6-72, 6-1, 6-0, 4-0,    - retired",Paris,93/132,75/121,70/93,38/75,21/39,24/46,59/121,41/132,150/253,103/253,2,2,11,1,9/9,2/4
