pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
15-15,0-0,0-0,,98098,,,3,,3,Deuce,Motka Komac,Near,,,,,,,,,,123.0,-510.0,Crosscourt,Forehand,,,,,,,,,,-90.0,285.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,0-0,0-0,,99954,,,3,,4,Deuce,Motka Komac,Near,,,,,,,,,,-128.0,472.0,Crosscourt,Forehand,,,,,,,,,,57.0,-363.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,0-0,0-0,,100802,,,3,,5,Deuce,Motka Komac,Near,,,,,,,,,,56.0,-496.0,Down the Line,Forehand,,,,,,,,,,30.0,448.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,0-0,0-0,,102129,,,3,,6,Deuce,Motka Komac,Near,,,,,,,,,,-8.0,502.0,Down the Line,Backhand,,,,,,,,,,-61.0,-291.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,0-0,0-0,,103441,,,3,,7,Ad,Motka Komac,Near,,,,,,,,,,-88.0,-467.0,Down the Line,Backhand,,,,,,,,,,-61.0,435.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,0-0,0-0,,105799,,,3,,8,Deuce,Motka Komac,Near,,,,,,,,,,-32.0,488.0,Crosscourt,Forehand,,,,,,,,,,84.0,-275.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,0-0,0-0,,106311,1.0,107329.0,3,,9,Deuce,Motka Komac,Near,,,,,,,,,,120.0,-496.0,Crosscourt,Forehand,,,,,,,,,,-122.0,272.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Motka Komac,0,,
15-30,0-0,0-0,1.0,130703,1.0,144776.0,4,,1,Ad,Motka Komac,Near,0.0,T,0.0,283.0,0.0,Body,88.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,1,Elise Wagle,0,Double Fault,Body
30-30,0-0,0-0,1.0,163282,,,5,,1,Deuce,Motka Komac,Near,1.0,T,-48.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
30-30,0-0,0-0,,165891,,,5,,2,Deuce,Motka Komac,Near,,,,,,,,,,-93.0,478.0,Crosscourt,Backhand,,,,,,,,,,129.0,-227.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-30,0-0,0-0,,167720,,,5,,3,Deuce,Motka Komac,Near,,,,,,,,,,160.0,-371.0,Down the Line,Forehand,,,,1.0,,,,,,94.0,226.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-30,0-0,0-0,,169085,1.0,172096.0,5,,4,Ad,Motka Komac,Near,,,,,,,,,,40.0,488.0,Down the Line,Backhand,,,,,,,,,,105.0,-115.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Elise Wagle,0,,
40-30,0-0,0-0,1.0,191183,,,6,,1,Ad,Motka Komac,Near,1.0,T,45.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
40-30,0-0,0-0,,193113,1.0,195497.0,6,,2,Ad,Motka Komac,Near,,,,,,,,,,104.0,477.0,Down the Line,Forehand,,,,,,,,,,230.0,-210.0,,,1.0,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
40-40,0-0,0-0,1.0,212899,,,7,1.0,1,Ad,Motka Komac,Near,1.0,T,37.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
40-40,0-0,0-0,,215986,,,7,,2,Ad,Motka Komac,Near,,,,,,,,,,32.0,483.0,Crosscourt,Forehand,,,,,,,,,,-74.0,-281.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
