pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
30-40,2-0,0-0,,645739,1.0,,17,,2,Ad,Motka Komac,Far,,,,,,,,,,-56.0,-485.0,Crosscourt,Forehand,,,,,,,,,,192.0,282.0,,1.0,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
0-0,2-1,0-0,1.0,746110,,,18,,1,Deuce,Elise Wagle,Far,1.0,Wide,149.0,-192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,Wide
0-0,2-1,0-0,,752276,,,18,,2,Deuce,Elise Wagle,Far,,,,,,,,,,234.0,-469.0,Down the Line,Forehand,1.0,,,,,,,,,48.0,197.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
0-0,2-1,0-0,,756531,,,18,,3,Ad,Elise Wagle,Far,,,,,,,,,,40.0,336.0,Crosscourt,Forehand,1.0,,,,,,,,,-14.0,-450.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
0-0,2-1,0-0,,758139,,,18,,4,Ad,Elise Wagle,Far,,,,,,,,,,-6.0,-488.0,Crosscourt,Backhand,,,,,,,1.0,,,21.0,51.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
0-0,2-1,0-0,,758253,1.0,,18,,5,Ad,Elise Wagle,Far,,,,,,,,,,24.0,45.0,Crosscourt,Forehand,,1.0,,,,1.0,1.0,,,-118.0,-53.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,Elise Wagle,0,,
15-0,2-1,0-0,1.0,759435,,,19,,1,Ad,Elise Wagle,Far,1.0,T,-43.0,-224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,T
15-0,2-1,0-0,,781926,1.0,783329.0,19,,2,Ad,Elise Wagle,Far,,,,,,,,,,-62.0,-477.0,Crosscourt,Forehand,,,,,,,,,,93.0,0.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
30-0,2-1,0-0,1.0,801502,,,20,,1,Deuce,Elise Wagle,Far,1.0,T,18.0,-232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,T
30-0,2-1,0-0,,805812,1.0,805812.0,20,,2,Deuce,Elise Wagle,Far,,,,,,,,,,53.0,-482.0,Crosscourt,Backhand,1.0,,,,,,,,,-341.0,-181.0,,,1.0,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
40-0,2-1,0-0,1.0,822669,,,21,,1,Ad,Elise Wagle,Far,1.0,Wide,-136.0,-192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,Wide
40-0,2-1,0-0,,826206,,,21,,2,Ad,Elise Wagle,Far,,,,,,,,,,-181.0,-490.0,Down the Line,Backhand,1.0,,,,,,,,,-67.0,205.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
40-0,2-1,0-0,,827876,1.0,829133.0,21,,3,Deuce,Elise Wagle,Far,,,,,,,,,,-8.0,285.0,Down the Line,Forehand,,,,1.0,,,,,,-134.0,-386.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,Elise Wagle,0,,
0-0,3-1,0-0,1.0,855127,,,22,,1,Deuce,Motka Komac,Near,1.0,T,-43.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
0-0,3-1,0-0,,858142,1.0,,22,,2,Deuce,Motka Komac,Near,,,,,,,,,,-131.0,469.0,Down the Line,Backhand,,,,,,,,,,-62.0,0.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
0-15,3-1,0-0,1.0,859569,,,23,,1,Ad,Motka Komac,Near,1.0,T,40.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
0-15,3-1,0-0,,882592,,,23,,2,Ad,Motka Komac,Near,,,,,,,,,,74.0,469.0,Down the Line,Forehand,,,,,,,,,,77.0,-128.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-15,3-1,0-0,,884773,1.0,,23,,3,Deuce,Motka Komac,Near,,,,,,,,,,96.0,-402.0,Crosscourt,Forehand,,,,,,,,,,-6.0,0.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
15-15,3-1,0-0,1.0,885875,,,24,,1,Deuce,Motka Komac,Near,0.0,Body,-72.0,0.0,1.0,Body,-78.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,2nd Serve In,Body
15-15,3-1,0-0,,924151,,,24,,2,Deuce,Motka Komac,Near,,,,,,,,,,-144.0,437.0,Crosscourt,Forehand,,,,,,,,,,29.0,-176.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,3-1,0-0,,925718,,,24,,3,Deuce,Motka Komac,Near,,,,,,,,,,117.0,-485.0,Down the Line,Forehand,,,,,,,,,,64.0,298.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,3-1,0-0,,926504,,,24,,4,Ad,Motka Komac,Near,,,,,,,,,,16.0,485.0,Crosscourt,Backhand,,,,,,,,,,-78.0,-322.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,3-1,0-0,,927840,,,24,,5,Ad,Motka Komac,Near,,,,,,,,,,-86.0,-488.0,Crosscourt,Backhand,,,,,,,,,,114.0,426.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,3-1,0-0,,929203,,,24,,6,Ad,Motka Komac,Near,,,,,,,,,,141.0,506.0,Crosscourt,Backhand,,,,,,,,,,-6.0,-242.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,3-1,0-0,,930338,,,24,,7,Ad,Motka Komac,Near,,,,,,,,,,-19.0,-466.0,Down the Line,Backhand,,,,,,,,,,-67.0,434.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,3-1,0-0,,931854,,,24,,8,Deuce,Motka Komac,Near,,,,,,,,,,-62.0,536.0,Crosscourt,Forehand,,,,,,,,,,66.0,-213.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,3-1,0-0,,933864,,,24,,9,Deuce,Motka Komac,Near,,,,,,,,,,106.0,-474.0,Crosscourt,Forehand,,,,,,,,,,-83.0,376.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,3-1,0-0,,934762,,,24,,10,Deuce,Motka Komac,Near,,,,,,,,,,-136.0,496.0,Down the Line,Forehand,1.0,,,,,,,,,-142.0,-205.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,3-1,0-0,,937035,1.0,938587.0,24,,11,Ad,Motka Komac,Near,,,,,,,,,,-126.0,-285.0,Down the Line,Backhand,,,,,,,,,,-181.0,210.0,,,1.0,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
30-15,3-1,0-0,1.0,938587,,,25,,1,Ad,Motka Komac,Near,1.0,Wide,128.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Wide
30-15,3-1,0-0,,964675,,,25,,2,Ad,Motka Komac,Near,,,,,,,,,,157.0,474.0,Crosscourt,Backhand,,,,,,,,,,-48.0,-224.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-15,3-1,0-0,,967137,1.0,967812.0,25,,3,Ad,Motka Komac,Near,,,,,,,,,,-107.0,-274.0,Down the Line,Forehand,,,,1.0,,,,,,-104.0,330.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Motka Komac,0,,
30-30,3-1,0-0,1.0,968150,1.0,,26,,1,Deuce,Motka Komac,Near,0.0,Body,-56.0,266.0,0.0,Body,-59.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,1,Elise Wagle,0,Double Fault,Body
40-30,3-1,0-0,1.0,1004576,1.0,,27,,1,Ad,Motka Komac,Near,0.0,Body,74.0,317.0,0.0,Body,69.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,1,Elise Wagle,0,Double Fault,Body
0-0,4-1,0-0,1.0,1040300,1.0,,28,,1,Deuce,Elise Wagle,Near,0.0,Wide,-168.0,226.0,0.0,T,-8.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,1,Motka Komac,0,Double Fault,T
15-0,4-1,0-0,1.0,1195921,,,29,,1,Ad,Motka Komac,Near,0.0,T,10.0,0.0,1.0,Wide,136.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,2nd Serve In,Wide
15-0,4-1,0-0,,1229678,1.0,,29,,3,Ad,Motka Komac,Near,,,,,,,,,,-35.0,-466.0,Down the Line,Backhand,,,,,,,,,,-35.0,0.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
15-0,4-1,0-0,,1229803,,,29,,2,Ad,Motka Komac,Near,,,,,,,,,,186.0,477.0,Down the Line,Backhand,,,,,,,,,,8.0,-208.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-0,4-1,0-0,1.0,1232098,,,30,,1,Deuce,Motka Komac,Near,0.0,T,-30.0,269.0,1.0,T,-43.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,2nd Serve In,T
30-0,4-1,0-0,,1272462,1.0,,30,,2,Deuce,Motka Komac,Near,,,,,,,,,,-126.0,442.0,Crosscourt,Backhand,,,,,,,,,,80.0,-613.0,,,,,1.0,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
30-15,4-1,0-0,1.0,1273657,,,31,,1,Ad,Motka Komac,Near,0.0,T,45.0,301.0,1.0,Wide,112.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,2nd Serve In,Wide
30-15,4-1,0-0,,1304219,,,31,,2,Ad,Motka Komac,Near,,,,,,,,,,138.0,485.0,Crosscourt,Backhand,,,,,,,,,,-48.0,-264.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-15,4-1,0-0,,1304565,,,31,,3,Ad,Motka Komac,Near,,,,,,,,,,-83.0,-440.0,Down the Line,Backhand,,,,1.0,,,,,,-96.0,421.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-15,4-1,0-0,,1306910,,,31,,4,Deuce,Motka Komac,Near,,,,,,,,,,-62.0,514.0,Down the Line,Forehand,,,,,,,,,,-94.0,-173.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-15,4-1,0-0,,1307529,,,31,,5,Ad,Motka Komac,Near,,,,,,,,,,-83.0,-176.0,Crosscourt,Backhand,,1.0,,,,,,,,77.0,362.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-15,4-1,0-0,,1309050,1.0,,31,,6,Ad,Motka Komac,Near,,,,,,,,,,146.0,458.0,Crosscourt,Backhand,,,,,,1.0,,,,-235.0,-189.0,,1.0,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
30-30,4-1,0-0,1.0,1310211,1.0,,32,,1,Deuce,Motka Komac,Near,0.0,T,5.0,0.0,0.0,T,-46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,1,Elise Wagle,0,Double Fault,T
40-30,4-1,0-0,1.0,1352894,,,33,,1,Ad,Motka Komac,Near,1.0,T,40.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
40-30,4-1,0-0,,1383782,,,33,,2,Ad,Motka Komac,Near,,,,,,,,,,69.0,482.0,Down the Line,Forehand,1.0,,,,,,,,,18.0,-216.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
40-30,4-1,0-0,,1385583,,,33,,3,Ad,Motka Komac,Near,,,,,,,,,,-6.0,-384.0,Down the Line,Forehand,,,,1.0,,,,,,-3.0,269.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
40-30,4-1,0-0,,1386417,,,33,,4,Ad,Motka Komac,Near,,,,,,,,,,8.0,480.0,Down the Line,Forehand,,,,,,,,,,88.0,-96.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
40-30,4-1,0-0,,1387220,1.0,,33,,5,Deuce,Motka Komac,Near,,,,,,,,,,74.0,-99.0,Down the Line,Forehand,,1.0,,,,,,,,234.0,-45.0,,1.0,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
0-0,4-2,0-0,1.0,1401082,1.0,,34,,1,Deuce,Motka Komac,Far,0.0,T,-29.0,2.0,0.0,T,38.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,1,Elise Wagle,0,Double Fault,T
15-0,4-2,0-0,1.0,1427050,,,35,,1,Ad,Motka Komac,Far,1.0,T,-16.0,-198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
15-0,4-2,0-0,,1459363,,,35,,2,Ad,Motka Komac,Far,,,,,,,,,,-26.0,-499.0,Crosscourt,Forehand,,,,,,,,,,51.0,229.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-0,4-2,0-0,,1459604,,,35,,3,Ad,Motka Komac,Far,,,,,,,,,,32.0,480.0,Down the Line,Backhand,,,,,,,,,,54.0,-216.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-0,4-2,0-0,,1460901,1.0,,35,,4,Deuce,Motka Komac,Far,,,,,,,,,,32.0,-491.0,Down the Line,Forehand,,,,,,,,,,8.0,-11.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
15-15,4-2,0-0,1.0,1471811,,,36,,1,Deuce,Motka Komac,Far,1.0,T,17.0,-151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
15-15,4-2,0-0,,1485896,,,36,,2,Deuce,Motka Komac,Far,,,,,,,,,,163.0,-463.0,Down the Line,Backhand,,,,,,,,,,54.0,297.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,4-2,0-0,,1488063,,,36,,3,Ad,Motka Komac,Far,,,,,,,,,,51.0,478.0,Crosscourt,Backhand,,,,,,,,,,-87.0,-114.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,4-2,0-0,,1489072,,,36,,4,Ad,Motka Komac,Far,,,,,,,,,,-143.0,-465.0,Down the Line,Backhand,1.0,,,,,,,,,-119.0,435.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,4-2,0-0,,1490412,,,36,,5,Deuce,Motka Komac,Far,,,,,,,,,,-74.0,494.0,Crosscourt,Forehand,,,,,,,,,,73.0,-228.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,4-2,0-0,,1492378,1.0,,36,,6,Deuce,Motka Komac,Far,,,,,,,,,,115.0,-473.0,Crosscourt,Forehand,,,,,,,,,,-100.0,513.0,,,,,1.0,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
15-30,4-2,0-0,1.0,1498169,,,37,,1,Ad,Motka Komac,Far,1.0,Wide,-119.0,-183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Wide
15-30,4-2,0-0,,1515956,,,37,,2,Ad,Motka Komac,Far,,,,,,,,,,-183.0,-505.0,Down the Line,Backhand,,,,,,,,,,-66.0,419.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1517133,,,37,,3,Deuce,Motka Komac,Far,,,,,,,,,,-39.0,486.0,Down the Line,Forehand,,,,,,,,,,-87.0,-364.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1518357,,,37,,4,Ad,Motka Komac,Far,,,,,,,,,,-127.0,-598.0,Crosscourt,Backhand,,,,,,,,,,38.0,411.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1519195,,,37,,9,Ad,Motka Komac,Far,,,,,,,,,,125.0,483.0,Crosscourt,Forehand,,,,,,,,,,-104.0,-383.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1519433,,,37,,5,Ad,Motka Komac,Far,,,,,,,,,,73.0,481.0,Crosscourt,Forehand,1.0,,,,,,,,,-90.0,-383.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1520686,,,37,,6,Ad,Motka Komac,Far,,,,,,,,,,-132.0,-585.0,Crosscourt,Backhand,,,,,,,,,,83.0,427.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1521685,,,37,,10,Ad,Motka Komac,Far,,,,,,,,,,-118.0,-577.0,Crosscourt,Backhand,,,,,,,,,,109.0,411.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1522398,,,37,,11,Ad,Motka Komac,Far,,,,,,,,,,120.0,473.0,Crosscourt,Backhand,,,,,,,,,,-115.0,-199.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1522998,,,37,,7,Ad,Motka Komac,Far,,,,,,,,,,113.0,491.0,Crosscourt,Backhand,,,,,,,,,,-87.0,-209.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1523449,,,37,,12,Ad,Motka Komac,Far,,,,,,,,,,-147.0,-468.0,Down the Line,Backhand,,,,,,,,,,-6.0,278.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1523912,,,37,,8,Ad,Motka Komac,Far,,,,,,,,,,-135.0,-465.0,Crosscourt,Backhand,,,,,,,,,,45.0,427.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-30,4-2,0-0,,1524822,,,37,,13,Ad,Motka Komac,Far,,,,,,,,,,61.0,475.0,Down the Line,Forehand,,,,,,,,,,101.0,-188.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-30,4-2,0-0,,1526407,1.0,,37,,14,Deuce,Motka Komac,Far,,,,,,,,,,98.0,-580.0,Crosscourt,Forehand,,,,,,,,,,-83.0,477.0,,,,,1.0,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
15-40,4-2,0-0,1.0,1527994,,,38,,1,Deuce,Motka Komac,Far,1.0,Wide,112.0,-167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Wide
15-40,4-2,0-0,,1553282,1.0,,38,,2,Deuce,Motka Komac,Far,,,,,,,,,,293.0,-503.0,Crosscourt,Forehand,,,,,,,,,,-192.0,323.0,,,1.0,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
0-0,4-3,0-0,1.0,1652735,,,39,,1,Deuce,Elise Wagle,Far,1.0,Body,74.0,-167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,Body
0-0,4-3,0-0,,1659345,1.0,,39,,2,Deuce,Elise Wagle,Far,,,,,,,,,,128.0,-476.0,Down the Line,Forehand,1.0,,,,,,,,,34.0,-10.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
15-0,4-3,0-0,1.0,1660362,,,40,,1,Ad,Elise Wagle,Far,1.0,Wide,-112.0,-191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,Wide
15-0,4-3,0-0,,1680453,,,40,,2,Ad,Elise Wagle,Far,,,,,,,,,,-144.0,-329.0,Down the Line,Backhand,,,,,,,,,,-38.0,366.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
15-0,4-3,0-0,,1681957,,,40,,3,Ad,Elise Wagle,Far,,,,,,,,,,50.0,486.0,Down the Line,Forehand,,,,,,,,,,24.0,-348.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
15-0,4-3,0-0,,1683603,,,40,,4,Deuce,Elise Wagle,Far,,,,,,,,,,5.0,-497.0,Down the Line,Forehand,,,,,,,,,,24.0,289.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
15-0,4-3,0-0,,1684608,,,40,,5,Ad,Elise Wagle,Far,,,,,,,,,,77.0,478.0,Down the Line,Forehand,,,,,,,,,,40.0,-265.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
15-0,4-3,0-0,,1686062,,,40,,6,Deuce,Elise Wagle,Far,,,,,,,,,,136.0,-551.0,Crosscourt,Forehand,,,,,,,,,,-96.0,329.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
15-0,4-3,0-0,,1687247,,,40,,7,Deuce,Elise Wagle,Far,,,,,,,,,,-136.0,494.0,Down the Line,Forehand,,,,,,,,,,-99.0,-201.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
15-0,4-3,0-0,,1688702,1.0,,40,,8,Ad,Elise Wagle,Far,,,,,,,,,,-118.0,-471.0,Crosscourt,Backhand,,,,,,,,,,26.0,-12.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
30-0,4-3,0-0,1.0,1689683,1.0,,41,,1,Deuce,Elise Wagle,Far,0.0,T,26.0,-260.0,0.0,T,24.0,-279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,1,Motka Komac,0,Double Fault,T
