pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
15-30,0-0,0-0,,188478,,,,,3,Deuce,Govind Nanda,Far,,,,,,,,,,-120,466,Down the Line,Forehand,,,,,1,,,,,-133,-392,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,190445,,,,,4,Ad,Govind Nanda,Far,,,,,,,,,,-120,-496,Crosscourt,Backhand,,,,,,,,,,88,234,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,191630,,,,,5,Ad,Govind Nanda,Far,,,,,,,,,,123,464,Crosscourt,Backhand,,,,,1,,,,,-109,-269,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,193534,,,,,6,Ad,Govind Nanda,Far,,,,,,,,,,-117,-370,Down the Line,Backhand,,,,,,,,,,-71,413,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,195716,,,,,7,Deuce,Govind Nanda,Far,,,,,,,,,,-64,464,Down the Line,Forehand,,,,,,,,,,-87,-147,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,195717,,,,,8,Ad,Govind Nanda,Far,,,,,,,,,,-74,-168,Crosscourt,Backhand,,1,,,,,,1,,80,296,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,197753,,,,,9,Ad,Govind Nanda,Far,,,,,,,,,,131,477,Crosscourt,Backhand,,,,,,,,1,,-31,-24,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,197754,1,,,,10,Ad,Govind Nanda,Far,,,,,,,,,,-50,-24,Down the Line,Forehand,,1,,,,,,1,,-71,-19,1,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-40,0-0,0-0,1,225473,,,,,1,Deuce,Govind Nanda,Far,1,Body,102,-233,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-40,0-0,0-0,,232658,1,,,,2,Deuce,Govind Nanda,Far,,,,,,,,,,192,-448,Crosscourt,Forehand,,,,,,,,,,-343,349,,,1,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-40,0-0,0-0,1,239811,,,,,1,Ad,Govind Nanda,Far,1,Body,-98,-225,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-40,0-0,0-0,,262850,,,,,2,Ad,Govind Nanda,Far,,,,,,,,,,-162,-448,Down the Line,Backhand,,,,,,,,,,-55,234,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-40,0-0,0-0,,264450,1,,,,3,Ad,Govind Nanda,Far,,,,,,,,,,22,458,Down the Line,Forehand,,,,,,,,,,54,3,,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,0-1,0-0,1,352604,1,,,,1,Deuce,Nishesh Basavareddy,Far,0,Wide,168,-236,0,Body,62,0,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,0-1,0-0,1,366522,,,,,1,Ad,Nishesh Basavareddy,Far,1,T,-50,-214,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,0-1,0-0,,404051,,,,,2,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-29,-474,Down the Line,Forehand,,,,,,,,,,-109,37,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,0-1,0-0,,405141,1,,,,3,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-32,434,Crosscourt,Forehand,,,,,,,,,,182,-365,,,1,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,1,409229,,,,,1,Deuce,Nishesh Basavareddy,Far,1,T,22,-225,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,426579,,,,,2,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,80,-477,Down the Line,Backhand,,,,,,,,,,30,234,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,427680,,,,,3,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-13,397,Crosscourt,Backhand,,,,,,,,,,86,-370,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,429164,,,,,4,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,107,-485,Crosscourt,Forehand,,,,,,,,,,-135,325,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,430540,,,,,5,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-170,477,Crosscourt,Forehand,,,,,,,,,,83,-266,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,431710,,,,,6,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,197,-469,Down the Line,Forehand,,,,,,,,,,94,229,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,432876,,,,,7,Ad,Nishesh Basavareddy,Far,,,,,,,,,,0,474,Down the Line,Backhand,,,,,,,,,,-111,-360,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,434510,,,,,8,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-122,-474,Crosscourt,Backhand,,,,,1,,,,,80,293,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,436551,,,,,9,Ad,Nishesh Basavareddy,Far,,,,,,,,,,83,474,Crosscourt,Backhand,,,,,,,,,,-135,-272,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,437700,,,,,10,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-202,-450,Crosscourt,Backhand,1,,,,,,,,,80,282,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
30-0,0-1,0-0,,439586,1,,,,11,Ad,Nishesh Basavareddy,Far,,,,,,,,,,91,434,Down the Line,Backhand,,,,,,,,,,155,-466,,,,,1,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
