pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,0-0,0-0,1.0,128021,,,3,,1,Deuce,Govind Nanda,Far,1.0,T,43.0,-236.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,1st Serve In,T,
15-15,0-0,0-0,,155530,,,3,,2,Deuce,Govind Nanda,Far,,,,,,,,,,86.0,-488.0,Crosscourt,Backhand,,,,,1.0,,,,,-15.0,285.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,1.0,,,,,,,Short
15-15,0-0,0-0,,156552,,,3,,3,Ad,Govind Nanda,Far,,,,,,,,,,38.0,309.0,Down the Line,Forehand,,,,1.0,,,,,,110.0,-378.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,1.0,,,,,,Deep
15-15,0-0,0-0,,159402,,,3,,4,Deuce,Govind Nanda,Far,,,,,,,,,,216.0,-538.0,Down the Line,Forehand,,,,,,,,,,112.0,80.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Short
15-15,0-0,0-0,,159403,1.0,,3,,5,Ad,Govind Nanda,Far,,,,,,,,,,43.0,59.0,Down the Line,Backhand,,1.0,,,,,1,1.0,,134.0,0.0,,,,1.0,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,Nishesh Basavareddy,1,,,
15-30,0-0,0-0,1.0,159404,,,4,,1,Ad,Govind Nanda,Far,1.0,T,-48.0,-222.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,1st Serve In,T,
15-30,0-0,0-0,,187208,,,4,,2,Ad,Govind Nanda,Far,,,,,,,,,,-93.0,-514.0,Down the Line,Forehand,,,,,,,,,,-125.0,266.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,1.0,,,,,,Short
15-30,0-0,0-0,,188478,,,4,,3,Deuce,Govind Nanda,Far,,,,,,,,,,-120.0,466.0,Down the Line,Forehand,,,,,1.0,,,,,-133.0,-392.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Deep
15-30,0-0,0-0,,190445,,,4,,4,Ad,Govind Nanda,Far,,,,,,,,,,-120.0,-496.0,Crosscourt,Backhand,,,,,,,,,,88.0,234.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Short
15-30,0-0,0-0,,191630,,,4,,5,Ad,Govind Nanda,Far,,,,,,,,,,123.0,464.0,Crosscourt,Backhand,,,,,1.0,,,,,-109.0,-269.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
