Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Aadarsh,1,serve,Serve,Flat,71.823891,13,0,0,service_box,ad,near,-2.707271,7.073327,out,ad,far,1.200189,25.136106,2.532888,out wide,In,false,21:04:06,274.950012
Ferguson,2,return,Backhand,Topspin,51.672363,13,0,0,no_mans_land,ad,far,0.549876,19.336607,out,ad_alley,near,-5.247441,-0.621233,0.427461,down the line,In,false,21:04:08,276.149994
Aadarsh,3,serve_plus_one,Forehand,Topspin,47.01194,13,0,0,service_box,deuce,far,-1.471197,11.984234,no_mans_land,ad,far,0.97338,23.900848,1.674692,inside in,Net,false,21:04:09,277.51001
Aadarsh,1,serve,Serve,Flat,47.115616,14,0,0,service_box,ad,far,1.26405,15.896702,no_mans_land,deuce,far,-1.193812,23.708281,2.602749,out wide,Net,false,21:04:24,292.959991
Aadarsh,1,serve,Serve,Flat,40.270844,15,0,0,service_box,deuce,near,2.187495,8.210772,no_mans_land,deuce,far,-1.424373,23.747765,2.606738,out wide,In,false,21:04:36,304.730011
Ferguson,2,return,Forehand,Topspin,55.912689,15,0,0,no_mans_land,deuce,far,-0.999864,20.287388,out,deuce,near,3.742341,-0.926438,0.992182,cross court,In,false,21:04:38,306.410004
Aadarsh,3,serve_plus_one,Forehand,Topspin,46.981594,15,0,0,no_mans_land,deuce,near,2.794,2.51764,no_mans_land,deuce,far,-1.127562,24.526571,1.107681,cross court,In,false,21:04:39,307.529999
Ferguson,4,return_plus_one,Forehand,Topspin,57.303783,15,0,0,no_mans_land,deuce,far,-1.758525,18.779652,out,deuce,near,3.235551,-2.51874,1.471296,cross court,In,false,21:04:41,309.109985
Aadarsh,5,in_play,Forehand,Topspin,52.573853,15,0,0,no_mans_land,ad,near,-3.303843,3.663741,out,deuce,far,-3.097758,25.296686,0.995753,down the line,In,false,21:04:42,310.48999
Ferguson,6,in_play,Backhand,Topspin,57.786537,15,0,0,no_mans_land,ad,far,1.02751,18.628799,out,ad,near,-4.030688,-2.296924,1.004825,cross court,In,false,21:04:44,312.089996
Aadarsh,7,in_play,Backhand,Topspin,58.907322,15,0,0,service_box,deuce,near,3.879534,6.328172,no_mans_land,ad,far,2.310839,24.489,1.004994,down the line,In,false,21:04:45,313.450012
Ferguson,8,in_play,Forehand,Topspin,42.513039,15,0,0,service_box,deuce,far,-1.016547,15.594087,out,deuce_alley,near,4.140589,-0.933476,0.469334,down the line,In,false,21:04:46,314.970001
