pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet
15-15,1-1,0-0,NA,656744,1,657735,NA,NA,8,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,113,-512,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31,-12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-1,0-0,1,682192,NA,NA,NA,NA,1,Ad,Player2,Far,1,Body,-87,-199,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-1,0-0,NA,685150,NA,NA,NA,NA,2,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-138,-512,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-1,0-0,NA,686506,NA,NA,NA,NA,3,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,35,472,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135,-385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-1,0-0,NA,687776,1,689417,NA,NA,4,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-295,-541,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,412,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,1,706893,NA,NA,NA,1,1,Deuce,Player2,Far,1,Wide,131,-175,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,NA,709878,NA,NA,NA,NA,2,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,241,-453,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,NA,711226,NA,NA,NA,NA,3,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-63,469,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60,-444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,NA,714755,NA,NA,NA,NA,4,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-21,-594,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,NA,715945,NA,NA,NA,NA,5,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,54,466,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23,-342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-1,0-0,NA,716804,1,717748,NA,NA,6,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-13,-474,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,-9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,1,815006,NA,NA,NA,NA,1,Deuce,Player1,Far,0,T,41,9,1,T,49,-121,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,828667,NA,NA,NA,NA,2,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,91,-424,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,829776,NA,NA,NA,NA,3,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-79,472,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,830897,NA,NA,NA,NA,4,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,62,-477,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,832325,NA,NA,NA,NA,5,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-127,477,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,-324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,833469,NA,NA,NA,NA,6,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,206,-541,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,834993,NA,NA,NA,NA,7,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-63,314,Down the Line,Forehand,1,NA,NA,1,NA,NA,NA,NA,NA,-76,-262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,835796,NA,NA,NA,NA,8,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-76,-322,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,1,62,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-2,0-0,NA,837918,1,838176,NA,NA,9,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,67,232,Crosscourt,Forehand,NA,NA,1,NA,NA,NA,NA,NA,NA,-74,-100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-2,0-0,1,865749,NA,NA,NA,NA,1,Ad,Player1,Far,0,Wide,-119,15,1,Body,-98,-137,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-2,0-0,NA,876940,1,880874,NA,NA,2,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-148,-386,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,377,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-2,0-0,1,913512,1,933435,NA,NA,1,Deuce,Player1,Far,0,Body,89,15,0,Body,65,9,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,1,954463,NA,NA,NA,NA,1,Ad,Player1,Far,1,Body,-87,-236,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,957270,NA,NA,NA,NA,2,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-196,-514,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,958400,NA,NA,NA,NA,3,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,59,469,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,-446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,960561,NA,NA,NA,NA,4,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,91,-562,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,960649,NA,NA,NA,NA,5,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,78,466,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,-297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,962003,NA,NA,NA,NA,6,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-183,-565,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,963683,NA,NA,NA,NA,7,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-116,496,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,-329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,965040,NA,NA,NA,NA,8,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,219,-501,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,966157,NA,NA,NA,NA,9,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,46,472,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66,-286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-2,0-0,NA,968285,1,969102,NA,NA,10,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-178,-541,Crosscourt,Backhand,1,NA,NA,NA,NA,NA,NA,NA,NA,59,-9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-30,1-2,0-0,1,1006790,NA,NA,NA,NA,1,Deuce,Player1,Far,1,Body,51,-241,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-30,1-2,0-0,NA,1009581,1,1009591,NA,NA,2,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,67,-472,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-30,1-2,0-0,1,1033788,NA,NA,NA,NA,1,Ad,Player1,Far,0,T,-15,-254,1,Body,-103,-151,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-30,1-2,0-0,NA,1047017,NA,NA,NA,NA,2,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-164,-349,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-30,1-2,0-0,NA,1047864,1,1048682,NA,NA,3,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,30,469,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,1,1075842,NA,NA,NA,1,1,Ad,Player1,Far,0,Wide,-170,-201,1,Body,-95,-143,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1089453,NA,NA,NA,NA,2,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-130,-341,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1090523,NA,NA,NA,NA,3,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,65,477,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1092227,NA,NA,NA,NA,4,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,6,-509,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1093263,NA,NA,NA,NA,5,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-34,472,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127,-313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1094620,NA,NA,NA,NA,6,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-175,-512,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1095932,NA,NA,NA,NA,7,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,65,472,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90,-308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1097133,NA,NA,NA,NA,8,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-186,-506,Down the Line,Backhand,1,NA,NA,NA,NA,NA,NA,NA,NA,-79,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1098785,NA,NA,NA,NA,9,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-74,288,Down the Line,Forehand,1,NA,NA,NA,NA,NA,NA,NA,NA,-71,-428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1100280,NA,NA,NA,NA,10,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-76,-520,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,1,107,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1102526,NA,NA,NA,NA,11,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,118,346,Crosscourt,Backhand,1,NA,NA,NA,NA,NA,NA,NA,NA,-122,-318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1104006,NA,NA,NA,NA,12,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-172,-474,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1104715,NA,NA,NA,NA,13,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,89,472,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1106089,NA,NA,NA,NA,14,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,142,-509,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1107086,NA,NA,NA,NA,15,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-95,480,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71,-358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1108311,NA,NA,NA,NA,16,Ad,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-87,-501,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40-40,1-2,0-0,NA,1109236,1,1110963,NA,NA,17,Deuce,Player1,Far,NA,,NA,NA,NA,,NA,NA,NA,-98,482,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,-484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-3,0-0,1,1161111,NA,NA,NA,NA,1,Deuce,Player2,Near,1,Body,-95,175,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-3,0-0,NA,1165083,NA,NA,NA,NA,2,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-159,474,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,-225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-3,0-0,NA,1165602,NA,NA,NA,NA,3,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,70,-280,Crosscourt,Forehand,NA,NA,NA,1,NA,NA,NA,NA,NA,-114,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-3,0-0,NA,1166480,1,1167630,NA,NA,4,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-156,496,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,-161,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,1,1191269,NA,NA,NA,NA,1,Ad,Player2,Near,0,Body,67,254,1,Body,97,209,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1203830,NA,NA,NA,NA,2,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,171,440,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111,-332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1205238,NA,NA,NA,NA,3,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-188,-482,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1206381,NA,NA,NA,NA,4,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-122,496,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42,-268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1207689,NA,NA,NA,NA,5,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-10,-397,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1210071,NA,NA,NA,NA,6,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,139,504,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-151,-332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-0,1-3,0-0,NA,1210588,1,1210598,NA,NA,7,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-186,-424,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,470,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,1,1241161,NA,NA,NA,NA,1,Deuce,Player2,Near,0,Wide,-170,153,1,Body,-100,145,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1259877,NA,NA,NA,NA,2,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-191,416,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,-260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1260644,NA,NA,NA,NA,3,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,91,-466,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1262323,NA,NA,NA,NA,4,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,3,501,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,-222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1263229,NA,NA,NA,NA,5,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,30,-397,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1264186,NA,NA,NA,NA,6,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,110,546,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,1,-34,-225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1267064,NA,NA,NA,NA,7,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-37,-224,Down the Line,Forehand,NA,NA,1,NA,NA,NA,NA,NA,NA,-2,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-0,1-3,0-0,NA,1267162,1,1269317,NA,NA,8,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,14,568,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-191,-524,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-15,1-3,0-0,1,1302566,NA,NA,NA,NA,1,Ad,Player2,Near,0,T,49,273,1,Body,73,164,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-15,1-3,0-0,NA,1324532,NA,NA,NA,NA,2,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,86,408,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,-342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-15,1-3,0-0,NA,1325391,NA,NA,NA,NA,3,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,33,-474,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
