pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
0 - 0,0 - 0,0 - 0,0,26000,1,26000,1.0,,0,Deuce,Player1,,,,,,,,,,0,-67.2318842956783,321.70626640403333,Crosscourt,,,,,,,,,,,17.461149387567534,-122.57517497806438,1,,,,,,,,,,,,,,,,,,,Elise Wagle,0,none,Feed,Flat,18.186579,2,1,1,short,deuce,near,0.456185,8.684836,deep,deuce,far,-1.756481,20.292006,2.522506,---,In,False,02:40:10,,Elise WagleFeed
15 - 0,0 - 0,0 - 0,1,46000,0,,2.0,,1,Ad,Player2,Near,0,Body,89.6812992125521,245.5029527557787,,,,,0,-49.248758748880945,-470.76576990351884,Crosscourt,,1,,,,,,,,,89.6812992125521,245.5029527557787,,,,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Slice,68.796501,2,1,1,deep,ad,far,2.342988,18.30114,deep,ad,near,-1.286659,-0.411892,2.647483,down the T,Out,False,02:40:30,,Matka KomacServe
15 - 0,0 - 0,0 - 0,0,47000,0,,2.0,,2,Ad,Player1,,,,,,,,,,0,128.33138123352953,494.8982010058686,Crosscourt,Backhand,,,,,,,,,,-82.73714457563528,-270.9009186350306,,,,,,,,,,,,,,,,,,,,Elise Wagle,2,first_return,Backhand,Flat,46.26144,2,1,1,deep,ad,near,-2.161567,4.80972,deep,ad,far,3.352749,24.816769,1.18332,cross court,In,False,02:40:31,,Elise WagleBackhand
15 - 0,0 - 0,0 - 0,0,48000,0,,2.0,,3,Ad,Player2,,,,,,,,,,0,-105.81486767273624,-509.3067639979871,Down the Line,Backhand,,,,,,,,,,-122.45839348200148,445.5004319770227,,,,,,,,,,,,,,,,,,,,Matka Komac,3,serve_plus_one,Backhand,Topspin,68.721725,2,1,1,deep,deuce,far,-3.199313,23.526217,out,ad,near,-2.764489,-1.418803,1.027129,down the line,In,False,02:40:32,,Matka KomacBackhand
15 - 0,0 - 0,0 - 0,0,49000,0,,2.0,,4,Deuce,Player1,,,,,,,,,,0,-114.24479986870739,546.8408191160779,Down the Line,Forehand,,,,,,,,,,-53.743410979849756,-356.0241797898424,,,,,,,,,,,,,,,,,,,,Elise Wagle,4,return_plus_one,Forehand,Flat,34.779263,2,1,1,deep,ad,near,-1.404085,2.585814,out,deuce,far,-2.984727,26.173807,0.869139,down the line,In,False,02:40:33,,Elise WagleForehand
15 - 0,0 - 0,0 - 0,0,52000,1,52000,2.0,,5,Ad,Player2,,,,,,,,,,0,-46.679642388427325,-489.4141786961601,Crosscourt,Forehand,,,,,,,,,,73.73562992122176,-41.56617454066094,,,1,,,,,,,,,,,,,,,,,Matka Komac,5,in_play,Forehand,Topspin,41.963829,2,1,1,short,deuce,near,1.926396,10.801254,out,ad,near,-1.219539,-0.899095,1.406265,inside in,Net,False,02:40:36,,Matka KomacForehand
15 - 15,0 - 0,0 - 0,1,73000,0,,3.0,,1,Deuce,Player2,Near,0,Body,-59.159071522279156,-17.149846894129396,,,,,0,80.17231517931116,-454.07026465418363,Crosscourt,,,,,,,,,,,-59.159071522279156,-17.149846894129396,,,1,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Flat,45.367489,3,1,1,short,ad,near,-1.545573,11.439148,deep,deuce,near,2.094559,0.02429,2.458058,out wide,Net,False,02:40:57,,Matka KomacServe
15 - 15,0 - 0,0 - 0,0,87000,0,,3.0,,1,Deuce,Player2,Near,0,Wide,-127.31005030614595,239.01046041107517,1,Wide,-127.31005030614595,239.01046041107517,0,105.08286854762726,-441.64874781254525,Crosscourt,,1,,,,,,,,,-127.31005030614595,239.01046041107517,,,,,,,,,,,,,,,,,,,,Matka Komac,1,second_serve,Serve,Slice,61.429401,3,1,1,short,deuce,far,-3.326066,18.131519,deep,deuce,near,2.745365,0.348811,2.614525,out wide,In,False,02:41:11,,Matka KomacServe
15 - 15,0 - 0,0 - 0,0,88000,0,,3.0,,2,Deuce_Alley,Player1,,,,,,,,,,0,-198.79735892378184,520.1824857827585,Crosscourt,Forehand,,,,,,,,,,91.88410979872769,-374.4790627732099,,,,,,,,,,,,,,,,,,,,Elise Wagle,2,second_return,Forehand,Flat,59.924557,3,1,1,deep,deuce,near,2.400538,2.103667,out,deuce_alley,far,-5.193723,25.477339,0.946823,down the line,In,False,02:41:12,,Elise WagleForehand
15 - 15,0 - 0,0 - 0,0,90000,0,,3.0,,3,Deuce,Player2,,,,,,,,,,0,107.28100940501893,-471.90633202075355,Crosscourt,Forehand,,,,,,,,,,-106.72351268585913,327.32900262450283,,,,,,,,,,,,,,,,,,,,Matka Komac,3,serve_plus_one,Forehand,Flat,52.162769,3,1,1,deep,deuce,far,-2.788228,20.438904,deep,deuce,near,2.802793,-0.44169,0.810215,cross court,In,False,02:41:14,,Matka KomacForehand
15 - 15,0 - 0,0 - 0,0,91000,0,,3.0,,4,Deuce,Player1,,,,,,,,,,0,-146.93443241462225,529.4624999997264,Crosscourt,Forehand,,,,,,,,,,62.01453412070287,-384.85194663147223,,,,,,,,,,,,,,,,,,,,Elise Wagle,4,return_plus_one,Forehand,Topspin,61.798367,3,1,1,deep,deuce,near,1.620174,1.832668,out,deuce,far,-3.838767,25.719786,1.165548,cross court,In,False,02:41:15,,Elise WagleForehand
15 - 15,0 - 0,0 - 0,0,92000,0,,3.0,,5,Deuce,Player2,,,,,,,,,,0,70.8060640857027,-514.3618219594894,Down the Line,Forehand,,,,,,,,,,42.006009405052666,454.38684929985277,,,,,,,,,,,,,,,,,,,,Matka Komac,5,in_play,Forehand,Topspin,60.615761,3,1,1,deep,ad,far,1.097437,23.758381,out,deuce,near,1.849859,-1.55087,1.001454,down the line,In,False,02:41:16,,Matka KomacForehand
15 - 15,0 - 0,0 - 0,0,94000,0,,3.0,,6,Ad,Player1,,,,,,,,,,0,36.8308398949941,567.529440069698,Crosscourt,Backhand,,,,,,,,,,-73.12963692034717,-336.2807195973766,,,,,,,,,,,,,,,,,,,,Elise Wagle,6,in_play,Backhand,Topspin,56.054604,3,1,1,deep,ad,near,-1.910564,3.101626,out,ad,far,0.962232,26.714312,1.355857,cross court,In,False,02:41:18,,Elise WagleBackhand
15 - 15,0 - 0,0 - 0,0,95000,0,,3.0,,7,Ad,Player2,,,,,,,,,,0,-82.55881452314195,-498.42759733132607,Down the Line,Backhand,,,,,,,,,,-57.43620953627829,431.4914752841165,,,,,,,,,,,,,,,,,,,,Matka Komac,7,in_play,Backhand,Topspin,72.542274,3,1,1,deep,deuce,far,-1.500562,23.160223,out,ad,near,-2.156908,-1.134577,1.147515,down the line,In,False,02:41:19,,Matka KomacBackhand
15 - 15,0 - 0,0 - 0,0,96000,0,,3.0,,8,Deuce,Player1,,,,,,,,,,0,-49.00524387574021,553.9553040242107,Crosscourt,Forehand,,,,,,,,,,106.82662948375935,-280.59232830256724,,,,,,,,,,,,,,,,,,,,Elise Wagle,8,in_play,Forehand,Topspin,45.603222,3,1,1,deep,deuce,near,2.790922,4.556525,out,deuce,far,-1.280297,26.359678,0.781203,cross court,In,False,02:41:20,,Elise WagleForehand
15 - 15,0 - 0,0 - 0,0,98000,1,98000,3.0,,9,Deuce,Player2,,,,,,,,,,0,119.48193897631624,-508.3924157915134,Crosscourt,Forehand,,,,,,,,,,-125.93638451437064,294.5735728344934,1,,,,,,,,,,,,,,,,,,,Matka Komac,9,in_play,Forehand,Flat,68.425255,3,1,1,deep,deuce,far,-3.290178,19.583145,out,deuce,near,3.121551,-1.394915,1.307277,cross court,In,False,02:41:22,,Matka KomacForehand
30 - 15,0 - 0,0 - 0,1,124000,0,,4.0,,1,Ad,Player2,Near,0,T,-1.948999343831014,281.9028379263636,,,,,0,-34.74389216971083,-432.83298884492075,Down the Line,,1,,,,,,,,,-1.948999343831014,281.9028379263636,,,,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Slice,71.183975,4,1,1,deep,deuce,far,-0.050919,19.252113,deep,ad,near,-0.907709,0.579129,2.412484,down the T,Out,False,02:41:48,,Matka KomacServe
30 - 15,0 - 0,0 - 0,0,126000,0,,4.0,,1,Deuce,Player1,,,,,,,,,,0,-15.911718066483468,514.4340879262435,Crosscourt,Forehand,1,,,,,,,,,37.335744750636884,198.88593066481417,,,1,,,,,,,,,,,,,,,,,Elise Wagle,1,none,Forehand,Slice,24.966022,4,1,1,short,ad,far,0.975423,17.083237,out,deuce,far,-0.415705,25.327158,2.033805,down the line,Net,False,02:41:50,,Elise WagleForehand
30 - 15,0 - 0,0 - 0,0,135000,0,,4.0,,1,Ad,Player2,Near,0,Body,96.61278433940765,-52.7333333333061,0,Body,96.61278433940765,-52.7333333333061,0,-55.44388123356716,-451.1770997372997,Crosscourt,,1,,,,,,,,,96.61278433940765,-52.7333333333061,,,1,,,,,,,,,,,,,,,,,Matka Komac,1,second_serve,Serve,Slice,35.513508,4,1,1,short,deuce,near,2.524078,10.509504,deep,ad,near,-1.448511,0.099876,2.610688,out wide,Net,False,02:41:59,,Matka KomacServe
30 - 15,0 - 0,0 - 0,0,143000,1,143000,4.0,,0,Ad,Player1,,,,,,,,,,0,2.974234470689627,235.1248632982162,Crosscourt,,,,,,,,,,,-48.48969816270461,-79.60042650914522,1,,,,,,,,,,,,,,,,,,,Elise Wagle,0,none,Feed,Flat,19.052607,5,1,1,short,ad,near,-1.266828,9.807582,short,ad,far,0.077704,18.030005,2.699856,---,In,False,02:42:07,,Elise WagleFeed
40 - 15,0 - 0,0 - 0,1,156000,0,,5.0,,1,Deuce,Player2,Near,1,T,-38.35129593173872,244.0846566052982,,,,,0,60.00272309708187,-468.4137576550511,Crosscourt,,1,,,,,,,,,-38.35129593173872,244.0846566052982,,,,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Slice,98.828819,5,1,1,short,deuce,far,-1.001955,18.264086,deep,deuce,near,1.567614,-0.350444,2.6103,down the T,In,False,02:42:20,,Matka KomacServe
40 - 15,0 - 0,0 - 0,0,157000,0,,5.0,,2,Deuce,Player1,,,,,,,,,,0,-68.4789698162376,523.256621828251,Crosscourt,Backhand,,,,,,,,,,141.2517169728054,-221.93743438308746,,,,,,,,,,,,,,,,,,,,Elise Wagle,2,first_return,Backhand,Flat,41.716045,5,1,1,short,deuce,near,3.690302,6.088926,out,deuce,far,-1.789062,25.557653,1.061285,inside out,In,False,02:42:21,,Elise WagleBackhand
