pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
0 - 30,0 - 0,0 - 0,0,4531799,0,,3.0,,1,Deuce,Player2,Far,0,Body,59.23451443566494,-242.2270231844768,1,Body,59.23451443566494,-242.2270231844768,0,-30.70522747155019,442.425951443341,Crosscourt,,,,,,,,,,,59.23451443566494,-242.2270231844768,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Flat,59.844376,5,0,0,service_box,deuce,near,1.547544,5.558846,no_mans_land,deuce,far,-0.802196,23.445894,2.722291,down the T,In,False,21:00:47,75.529999,FergusonServe
0 - 30,0 - 0,0 - 0,0,4594200,0,,3.0,,2,Deuce,Player1,,,,,,,,,,0,65.55441819769142,-445.2292049429021,Down the Line,Backhand,,,,,,,,,,41.02800743654923,410.29703083968303,,,,,,,,,,,,,,,,,,,,Aadarsh,2,return,Backhand,Topspin,50.235802,5,0,0,no_mans_land,ad,far,1.071886,22.606503,no_mans_land,deuce,near,1.712656,0.255269,1.38378,inside in,In,False,21:00:48,76.57,AadarshBackhand
0 - 30,0 - 0,0 - 0,0,4691400,0,,3.0,,3,Deuce,Player2,,,,,,,,,,0,-0.5052110673663183,510.8332677162716,Crosscourt,Forehand,,,,,,,,,,75.58220144353051,-74.5550524933998,,,,,,,,,,,,,,,,,,,,Ferguson,3,serve_plus_one,Forehand,Topspin,69.485794,5,0,0,service_box,ad,net,1.974639,9.939396,out,deuce,far,-0.013199,25.233084,1.502778,down the line,In,False,21:00:50,78.190002,FergusonForehand
0 - 30,0 - 0,0 - 0,0,4792200,1,4792200,3.0,,4,Deuce_Alley,Player1,,,,,,,,,,0,179.34797681530543,-530.3897090985886,Down the Line,Forehand,1,,,,,,,,,91.57265419942776,387.6643864827393,1,,,,,,,,,,,,,,,,,,,Aadarsh,4,return_plus_one,Forehand,Slice,44.782169,5,0,0,no_mans_land,ad,far,2.392401,22.015209,out,deuce_alley,near,4.685594,-1.96961,0.7952,down the line,In,False,21:00:51,79.870003,AadarshForehand
15 - 30,0 - 0,0 - 0,1,6313800,0,,4.0,,1,Ad,Player2,Far,0,Wide,-117.09226268585377,-319.2939687224947,,,,,0,54.4099956255187,503.5863462377101,Crosscourt,,1,,,,,,,,,-117.09226268585377,-319.2939687224947,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Slice,68.695137,6,0,0,no_mans_land,ad,near,-3.059119,3.545417,out,ad,far,1.4215,25.043753,2.591567,out wide,Out,False,21:01:17,105.230003,FergusonServe
15 - 30,0 - 0,0 - 0,0,6386999,0,,4.0,,2,Ad_Alley,Player1,,,,,,,,,,0,-200.73319116350083,-480.19582786501877,Crosscourt,Backhand,1,,,,,,,,,94.10877624667054,-87.70359251963971,,,1,,,,,,,,,,,,,,,,,Aadarsh,2,return,Backhand,Slice,28.566505,6,0,0,service_box,deuce,near,2.458659,9.595881,out,ad_alley,near,-5.244298,-0.658259,1.00689,down the line,Net,False,21:01:18,106.449997,AadarshBackhand
15 - 30,0 - 0,0 - 0,0,7591199,0,,4.0,,1,Ad,Player2,Far,0,Body,-74.76029090109874,-190.89430227461708,1,Body,-74.76029090109874,-190.89430227461708,0,45.30965113733443,441.6487478125452,Crosscourt,,1,,,,,,,,,-74.76029090109874,-190.89430227461708,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Slice,52.737663,7,0,0,service_box,ad,near,-1.953166,6.89995,out,ad,far,1.183747,23.425589,2.598299,down the T,In,False,21:01:38,126.519997,FergusonServe
15 - 30,0 - 0,0 - 0,0,7658399,1,7658399,4.0,,2,Ad,Player1,,,,,,,,,,0,-151.10553368321152,-423.3062445317148,Crosscourt,Forehand,,,,,,,,,,22.78613298336531,456.0457130356349,,,,1,,,,,,,,,,,,,,,,Aadarsh,2,return,Forehand,Flat,64.026871,7,0,0,out,ad,far,0.595304,23.80172,no_mans_land,ad,near,-3.94774,0.828022,1.270949,inside out,Out,False,21:01:39,127.639999,AadarshForehand
15 - 40,0 - 0,0 - 0,1,9028200,0,,5.0,1,1,Deuce,Player2,Far,1,T,21.08221784775814,-164.67082786518176,,,,,0,-21.68576115484444,451.69639654394865,Crosscourt,,,,,,,,,,,21.08221784775814,-164.67082786518176,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Flat,107.314064,8,0,0,service_box,deuce,near,0.550788,7.585057,no_mans_land,deuce,far,-0.566556,23.688091,2.35415,down the T,In,False,21:02:02,150.470001,FergusonServe
15 - 40,0 - 0,0 - 0,0,9085199,0,,5.0,,2,Deuce,Player1,,,,,,,,,,0,34.13564085737519,-508.4536964126857,Down the Line,Backhand,,,,,,,,,,24.922457349068488,448.1662346891824,,,,,,,,,,,,,,,,,,,,Aadarsh,2,return,Backhand,Flat,44.208115,8,0,0,no_mans_land,ad,far,0.651117,23.595863,out,deuce,near,0.891818,-1.396516,0.884345,inside in,In,False,21:02:03,151.419998,AadarshBackhand
