pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,2-1,0-0,,1413064.0,,,32,,5,Ad,Yuta Shimizu,Far,,,,,,,,,,145.0,482.0,Crosscourt,Forehand,,,,,,,,,,-106.0,-314.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1414430.0,,,32,,6,Ad,Yuta Shimizu,Far,,,,,,,,,,-164.0,-490.0,Crosscourt,Backhand,,,,,,,,,,27.0,349.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1415813.0,,,32,,7,Ad,Yuta Shimizu,Far,,,,,,,,,,67.0,509.0,Crosscourt,Forehand,,,,,,,,,,-95.0,-195.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1417443.0,,,32,,8,Ad,Yuta Shimizu,Far,,,,,,,,,,-183.0,-493.0,Crosscourt,Backhand,,,,,,,,,,43.0,266.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1418456.0,,,32,,9,Ad,Yuta Shimizu,Far,,,,,,,,,,105.0,466.0,Crosscourt,Backhand,,,,,,,,,,-84.0,-296.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,1,,,,0,,,Short
0-0,2-1,0-0,,1419603.0,,,32,,10,Ad,Yuta Shimizu,Far,,,,,,,,,,-178.0,-501.0,Down the Line,Backhand,,,,,,,,,,-52.0,322.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1421079.0,,,32,,11,Deuce,Yuta Shimizu,Far,,,,,,,,,,-39.0,490.0,Crosscourt,Backhand,,,,,,,,,,83.0,-229.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1422642.0,,,32,,12,Deuce,Yuta Shimizu,Far,,,,,,,,,,150.0,-509.0,Crosscourt,Forehand,,,,,,,,,,-26.0,394.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
0-0,2-1,0-0,,1423808.0,,,32,,13,Deuce,Yuta Shimizu,Far,,,,,,,,,,-124.0,496.0,Down the Line,Forehand,,,,,,,,,,-103.0,-306.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,1,,,0,,,Short
0-0,2-1,0-0,,1425083.0,,,32,,14,Ad,Yuta Shimizu,Far,,,,,,,,,,-135.0,-480.0,Crosscourt,Backhand,,,,,,,,,,22.0,213.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1426676.0,,,32,,15,Ad,Yuta Shimizu,Far,,,,,,,,,,83.0,485.0,Down the Line,Forehand,,,,,,,,,,67.0,-205.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1427804.0,,,32,,16,Deuce,Yuta Shimizu,Far,,,,,,,,,,102.0,-477.0,Down the Line,Forehand,,,,,,,,,,41.0,341.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1428746.0,,,32,,17,Ad,Yuta Shimizu,Far,,,,,,,,,,46.0,490.0,Crosscourt,Forehand,,,,,,,,,,-79.0,-171.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1429848.0,,,32,,18,Ad,Yuta Shimizu,Far,,,,,,,,,,-114.0,-424.0,Crosscourt,Backhand,,,,,,,,,,75.0,290.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-0,2-1,0-0,,1431241.0,,,32,,19,Ad,Yuta Shimizu,Far,,,,,,,,,,121.0,482.0,Crosscourt,Forehand,,,,,,,,,,-95.0,-432.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Deep
0-0,2-1,0-0,,1432975.0,,,32,,20,Ad,Yuta Shimizu,Far,,,,,,,,,,-140.0,-469.0,Down the Line,Backhand,,,,,,,,,,-148.0,421.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
0-0,2-1,0-0,,1434700.0,,,32,,21,Deuce,Yuta Shimizu,Far,,,,,,,,,,-111.0,488.0,Crosscourt,Backhand,,,,,,,,,,107.0,-293.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-0,2-1,0-0,,1435709.0,1.0,,32,,22,Deuce,Yuta Shimizu,Far,,,,,,,,,,195.0,-496.0,Down the Line,Forehand,,,,,,,,,,131.0,-13.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,Yuta Shimizu,1,,,
0-15,2-1,0-0,1.0,1436505.0,,,33,,1,Ad,Yuta Shimizu,Far,0.0,Body,-92.0,-330.0,1.0,Body,-79.0,-216.0,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,2nd Serve In,Body,
0-15,2-1,0-0,,1474250.0,,,33,,2,Ad,Yuta Shimizu,Far,,,,,,,,,,-124.0,-338.0,Down the Line,Backhand,,,,,,,,,,-7.0,352.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
0-15,2-1,0-0,,1475360.0,,,33,,3,Ad,Yuta Shimizu,Far,,,,,,,,,,54.0,485.0,Down the Line,Forehand,,,,,,,,,,65.0,-341.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-15,2-1,0-0,,1476648.0,,,33,,4,Deuce,Yuta Shimizu,Far,,,,,,,,,,110.0,-525.0,Crosscourt,Forehand,,,,,,,,,,-23.0,277.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-15,2-1,0-0,,1477647.0,,,33,,5,Deuce,Yuta Shimizu,Far,,,,,,,,,,-114.0,480.0,Crosscourt,Forehand,,,,,,,,,,81.0,-320.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,1,,,,0,,,Short
0-15,2-1,0-0,,1478933.0,,,33,,6,Deuce,Yuta Shimizu,Far,,,,,,,,,,126.0,-493.0,Crosscourt,Forehand,,,,,,,,,,-95.0,176.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-15,2-1,0-0,,1480588.0,,,33,,7,Deuce,Yuta Shimizu,Far,,,,,,,,,,-135.0,472.0,Down the Line,Backhand,,,,,,,,,,-90.0,-266.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-15,2-1,0-0,,1481712.0,,,33,,8,Ad,Yuta Shimizu,Far,,,,,,,,,,-103.0,-485.0,Down the Line,Backhand,,,,,,,,,,-151.0,240.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Short
0-15,2-1,0-0,,1483736.0,,,33,,9,Deuce,Yuta Shimizu,Far,,,,,,,,,,-191.0,514.0,Down the Line,Backhand,,,,,,,,,,-148.0,-322.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Short
0-15,2-1,0-0,,1485926.0,,,33,,10,Ad,Yuta Shimizu,Far,,,,,,,,,,-154.0,-405.0,Crosscourt,Backhand,,,,,,,,,,65.0,357.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
0-15,2-1,0-0,,1486670.0,,,33,,11,Ad,Yuta Shimizu,Far,,,,,,,,,,115.0,496.0,Crosscourt,Forehand,,,,,,,,,,-90.0,-394.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Deep
0-15,2-1,0-0,,1488390.0,1.0,,33,,12,Ad,Yuta Shimizu,Far,,,,,,,,,,-135.0,-488.0,Down the Line,Backhand,,,,,,,,,,-188.0,402.0,,,1.0,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,Yuta Shimizu,1,,,
0-30,2-1,0-0,1.0,1492514.0,,,34,,1,Deuce,Yuta Shimizu,Far,1.0,T,43.0,-226.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,1st Serve In,T,
0-30,2-1,0-0,,1512864.0,,,34,,2,Deuce,Yuta Shimizu,Far,,,,,,,,,,81.0,-488.0,Down the Line,Backhand,,,,,,,,,,43.0,362.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,1,,,0,,,Deep
0-30,2-1,0-0,,1514126.0,,,34,,3,Ad,Yuta Shimizu,Far,,,,,,,,,,49.0,464.0,Down the Line,Forehand,,,,,,,,,,78.0,-432.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Deep
0-30,2-1,0-0,,1515935.0,,,34,,4,Deuce,Yuta Shimizu,Far,,,,,,,,,,86.0,-474.0,Crosscourt,Forehand,,,,,,,,,,-13.0,386.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
0-30,2-1,0-0,,1517069.0,1.0,,34,,5,Deuce,Yuta Shimizu,Far,,,,,,,,,,-45.0,490.0,Down the Line,Forehand,,,,,,,,,,-119.0,-498.0,,,,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,1,,Rudy Quan,1,,,Long
15-30,2-1,0-0,1.0,1518281.0,,,35,,1,Ad,Yuta Shimizu,Far,1.0,Wide,-111.0,-213.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,1st Serve In,Wide,
15-30,2-1,0-0,,1540645.0,,,35,,2,Ad,Yuta Shimizu,Far,,,,,,,,,,-228.0,-376.0,Down the Line,Backhand,,,,,,,,,,-21.0,365.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,,0,,,Deep
15-30,2-1,0-0,,1542107.0,,,35,,3,Ad,Yuta Shimizu,Far,,,,,,,,,,19.0,434.0,Crosscourt,Forehand,,,,,,,,,,-98.0,-397.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,,,0,,,Deep
15-30,2-1,0-0,,1543327.0,1.0,,35,,4,Ad,Yuta Shimizu,Far,,,,,,,,,,-111.0,-506.0,Down the Line,Backhand,,,,,,,,,,-95.0,-19.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Rudy Quan,,,,Yuta Shimizu,1,,,
15-40,2-1,0-0,1.0,1544773.0,1.0,,36,,1,Deuce,Yuta Shimizu,Far,0.0,Body,89.0,-290.0,0.0,Wide,171.0,-208.0,,,,,,,,,,,,,,,,,1.0,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Rudy Quan,Yuta Shimizu,,,1,Rudy Quan,0,Double Fault,Wide,
0-0,2-2,0-0,1.0,1621012.0,,,37,,1,Deuce,Rudy Quan,Near,1.0,Body,-71.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
0-0,2-2,0-0,,1624777.0,,,37,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-119.0,496.0,Down the Line,Forehand,1.0,,,,,,,,,-95.0,-330.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
0-0,2-2,0-0,,1626156.0,,,37,,3,Ad,Rudy Quan,Near,,,,,,,,,,-90.0,-466.0,Crosscourt,Backhand,,,,,,,,,,35.0,362.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
0-0,2-2,0-0,,1627300.0,,,37,,4,Ad,Rudy Quan,Near,,,,,,,,,,97.0,490.0,Down the Line,Forehand,,,,,,,,,,86.0,-384.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Deep
0-0,2-2,0-0,,1629146.0,,,37,,5,Deuce,Rudy Quan,Near,,,,,,,,,,81.0,-522.0,Crosscourt,Forehand,,,,,,,,,,-119.0,344.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
0-0,2-2,0-0,,1630278.0,,,37,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-191.0,464.0,Crosscourt,Backhand,,,,,,,,,,102.0,-426.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Deep
0-0,2-2,0-0,,1631935.0,,,37,,7,Deuce,Rudy Quan,Near,,,,,,,,,,131.0,-506.0,Crosscourt,Forehand,,,,,,,,,,-116.0,226.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
0-0,2-2,0-0,,1632908.0,,,37,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-183.0,501.0,Down the Line,Backhand,,,,,,,,,,-127.0,-269.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
0-0,2-2,0-0,,1634381.0,1.0,,37,,9,Ad,Rudy Quan,Near,,,,,,,,,,-143.0,-464.0,Crosscourt,Backhand,,,,,,,,,,65.0,-8.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,Yuta Shimizu,1,,,
0-15,2-2,0-0,1.0,1635461.0,,,38,,1,Ad,Rudy Quan,Near,1.0,Body,75.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
0-15,2-2,0-0,,1665598.0,,,38,,2,Ad,Rudy Quan,Near,,,,,,,,,,86.0,429.0,Down the Line,Forehand,,,,,,,,,,89.0,-237.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
0-15,2-2,0-0,,1665988.0,,,38,,3,Deuce,Rudy Quan,Near,,,,,,,,,,137.0,-485.0,Crosscourt,Forehand,,,,,,,,,,-100.0,365.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
0-15,2-2,0-0,,1666063.0,,,38,,4,Deuce,Rudy Quan,Near,,,,,,,,,,107.0,-477.0,Crosscourt,Forehand,,,,,,,,,,-79.0,378.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,1,,,,0,,,
0-15,2-2,0-0,,1667045.0,1.0,,38,,5,Deuce,Rudy Quan,Near,,,,,,,,,,-143.0,493.0,Down the Line,Backhand,,,,,,,,,,-130.0,-466.0,,,,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,Yuta Shimizu,1,,,
0-30,2-2,0-0,1.0,1668515.0,,,39,,1,Deuce,Rudy Quan,Near,1.0,Wide,-124.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Wide,
0-30,2-2,0-0,,1701381.0,1.0,,39,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-196.0,501.0,Crosscourt,Backhand,,,,,,,,,,187.0,-309.0,,,1.0,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,Rudy Quan,1,,,
15-30,2-2,0-0,1.0,1703035.0,,,40,,1,Ad,Rudy Quan,Near,1.0,T,41.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,T,
15-30,2-2,0-0,,1723798.0,,,40,,2,Ad,Rudy Quan,Near,,,,,,,,,,62.0,469.0,Down the Line,Backhand,,,,,,,,,,41.0,-229.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
15-30,2-2,0-0,,1725316.0,,,40,,3,Deuce,Rudy Quan,Near,,,,,,,,,,17.0,-360.0,Down the Line,Forehand,,,,,,,,,,75.0,320.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
15-30,2-2,0-0,,1726269.0,,,40,,4,Ad,Rudy Quan,Near,,,,,,,,,,91.0,490.0,Down the Line,Forehand,,,,,,,,,,73.0,432.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,
15-30,2-2,0-0,,1727896.0,1.0,,40,,5,Ad,Rudy Quan,Near,,,,,,,,,,-76.0,-394.0,Down the Line,Forehand,,,,,,,,,,-135.0,506.0,,,,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,Yuta Shimizu,1,,,Long
30-30,2-2,0-0,1.0,1730760.0,,,41,,1,Deuce,Rudy Quan,Near,1.0,Body,-71.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
30-30,2-2,0-0,,1760073.0,,,41,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-95.0,474.0,Down the Line,Forehand,,,,,,,,,,-100.0,-213.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
30-30,2-2,0-0,,1760999.0,,,41,,3,Ad,Rudy Quan,Near,,,,,,,,,,-106.0,-346.0,Down the Line,Backhand,,,,,,,,,,-2.0,434.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
30-30,2-2,0-0,,1762892.0,,,41,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-13.0,485.0,Down the Line,Forehand,,,,,,,,,,-68.0,-381.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Deep
30-30,2-2,0-0,,1764154.0,,,41,,5,Ad,Rudy Quan,Near,,,,,,,,,,-95.0,-496.0,Down the Line,Forehand,,,,,,,,,,-79.0,360.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,,0,,,Deep
30-30,2-2,0-0,,1765438.0,,,41,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-39.0,496.0,Crosscourt,Forehand,,,,,,,,,,83.0,-330.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,1,,,,0,,,Short
30-30,2-2,0-0,,1766757.0,,,41,,7,Deuce,Rudy Quan,Near,,,,,,,,,,155.0,-485.0,Crosscourt,Forehand,,,,,,,,,,-55.0,293.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
30-30,2-2,0-0,,1768580.0,,,41,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-111.0,474.0,Down the Line,Backhand,,,,,,,,,,-47.0,-397.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Deep
30-30,2-2,0-0,,1769440.0,,,41,,9,Ad,Rudy Quan,Near,,,,,,,,,,-47.0,-480.0,Down the Line,Backhand,,,,,,,,,,-92.0,368.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
30-30,2-2,0-0,,1770644.0,,,41,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-132.0,496.0,Crosscourt,Backhand,,,,,,,,,,46.0,-349.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
