pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,0-0,0-0,,172980.0,1.0,,3,,4,Ad,Rudy Quan,Near,,,,,,,,,,4.0,441.0,Down the Line,Forehand,,,,,,,,,,115.0,0.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,Rudy Quan,1,,,
30-15,0-0,0-0,1.0,171938.0,,,4,,1,Ad,Rudy Quan,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,Double Fault,,
30-15,0-0,0-0,,199357.0,,,4,,2,Ad,Rudy Quan,Near,,,,,,,,,,176.0,472.0,Crosscourt,Forehand,,,,,,,,,,-75.0,-157.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
30-15,0-0,0-0,,200539.0,,,4,,3,Ad,Rudy Quan,Near,,,,,,,,,,-114.0,-365.0,Down the Line,Backhand,,,,,,,,,,-101.0,365.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
30-15,0-0,0-0,,202477.0,,,4,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-88.0,506.0,Crosscourt,Backhand,,,,,,,,,,37.0,-277.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
30-15,0-0,0-0,,203204.0,,,4,,5,Deuce,Rudy Quan,Near,,,,,,,,,,70.0,-490.0,Crosscourt,Forehand,,,,,,,,,,-128.0,229.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
30-15,0-0,0-0,,205149.0,,,4,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-239.0,496.0,Crosscourt,Backhand,,,,,,,,,,91.0,-168.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
30-15,0-0,0-0,,206060.0,1.0,,4,,7,Deuce,Rudy Quan,Near,,,,,,,,,,163.0,-352.0,Down the Line,Forehand,,,,,,,,,,181.0,0.0,,1.0,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,Yuta Shimizu,1,,,
30-30,0-0,0-0,1.0,208668.0,,,5,,1,Deuce,Rudy Quan,Near,1.0,T,-34.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,T,
30-30,0-0,0-0,,230722.0,,,5,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-96.0,485.0,Down the Line,Forehand,,,,,,,,,,-128.0,-216.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
30-30,0-0,0-0,,232522.0,,,5,,3,Ad,Rudy Quan,Near,,,,,,,,,,-162.0,-482.0,Crosscourt,Backhand,,,,,,,,,,104.0,397.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
30-30,0-0,0-0,,233972.0,,,5,,4,Ad,Rudy Quan,Near,,,,,,,,,,96.0,490.0,Crosscourt,Forehand,,,,,,,,,,-99.0,-205.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
30-30,0-0,0-0,,235222.0,,,5,,5,Ad,Rudy Quan,Near,,,,,,,,,,-194.0,-493.0,Crosscourt,Backhand,,,,,,,,,,27.0,349.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
