Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 2-1, 15-40 Yuta Shimizu Serving",36,1,4,Rudy Quan,Yuta Shimizu,15-40,2-1,0-0,,Deuce,Yuta Shimizu,Rudy Quan,1544773.0,,,Rudy Quan,1,1 - 4,0,0,Double Fault,Wide,Body,Wide,False,Far,89.0,-290.0,171.0,-208.0,,,,,,,Yuta Shimizu,Winner,True,,,,0,0,2,1,15,40,,,,,,,,,,Double Fault,Deuce: Wide,,,,,,UCLA,
"Set 1: 2-2, 0-0 Rudy Quan Serving",37,1,5,Rudy Quan,Yuta Shimizu,0-0,2-2,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1621012.0,,,Yuta Shimizu,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Near,-71.0,242.0,,,Down the Line,Forehand,Net,,Crosscourt,Backhand,Rudy Quan,Error,False,,,,0,0,2,2,0,0,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Error,,,Down the Line,Forehand,,,,UCLA,
"Set 1: 2-2, 0-15 Rudy Quan Serving",38,1,5,Rudy Quan,Yuta Shimizu,0-15,2-2,0-0,,Ad,Rudy Quan,Yuta Shimizu,1635461.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,75.0,234.0,,,Down the Line,Forehand,Long,,Down the Line,Backhand,Rudy Quan,Error,False,,,,0,0,2,2,0,15,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,,,Down the Line,Forehand,,,,UCLA,
"Set 1: 2-2, 0-30 Rudy Quan Serving",39,1,5,Rudy Quan,Yuta Shimizu,0-30,2-2,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1668515.0,,,Rudy Quan,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-124.0,168.0,,,Crosscourt,Backhand,Wide Left,Wide Left,Crosscourt,Backhand,Yuta Shimizu,Error,False,,,,0,0,2,2,0,30,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,UCLA,
"Set 1: 2-2, 15-30 Rudy Quan Serving",40,1,5,Rudy Quan,Yuta Shimizu,15-30,2-2,0-0,,Ad,Rudy Quan,Yuta Shimizu,1703035.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,T,T,,False,Near,41.0,237.0,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,False,,,,0,0,2,2,15,30,,,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,UCLA,
"Set 1: 2-2, 30-30 Rudy Quan Serving",41,1,5,Rudy Quan,Yuta Shimizu,30-30,2-2,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1730760.0,,,Yuta Shimizu,19,13 +,1,0,1st Serve In,Body,Body,,False,Near,-71.0,234.0,,,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Rudy Quan,Error,False,,,,0,0,2,2,30,30,,,1st Serve In,Deuce: Body,,,Crosscourt,Forehand,Error,,,Down the Line,Forehand,,,,UCLA,
"Set 1: 2-2, 30-40 Rudy Quan Serving",42,1,5,Rudy Quan,Yuta Shimizu,30-40,2-2,0-0,,Ad,Rudy Quan,Yuta Shimizu,1784991.0,,,Rudy Quan,12,9 - 12,1,0,1st Serve In,Body,Body,,False,Near,59.0,232.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Backhand,Yuta Shimizu,Error,True,,,,0,0,2,2,30,40,,,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,UCLA,
"Set 1: 2-2, 40-40 Rudy Quan Serving",43,1,5,Rudy Quan,Yuta Shimizu,40-40,2-2,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1846288.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Near,-111.0,221.0,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Rudy Quan,Error,True,,,,0,0,2,2,40,40,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,UCLA,
"Set 1: 2-2, 40-A Rudy Quan Serving",44,1,5,Rudy Quan,Yuta Shimizu,40-A,2-2,0-0,,Ad,Rudy Quan,Yuta Shimizu,1913426.0,,,Yuta Shimizu,10,9 - 12,1,0,1st Serve In,Body,Body,,False,Near,61.0,150.0,,,Crosscourt,Forehand,,,Crosscourt,Backhand,Yuta Shimizu,Winner,False,,Yuta Shimizu,,0,0,2,2,40,A,,,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Winner,UCLA,
"Set 1: 2-3, 0-0 Yuta Shimizu Serving",45,1,6,Rudy Quan,Yuta Shimizu,0-0,2-3,0-0,,Deuce,Yuta Shimizu,Rudy Quan,2049772.0,,,Yuta Shimizu,7,5 - 8,1,0,1st Serve In,T,T,,False,Near,-5.0,234.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Yuta Shimizu,Winner,False,,,,0,0,2,3,0,0,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Winner,UCLA,
"Set 1: 2-3, 0-15 Yuta Shimizu Serving",46,1,6,Rudy Quan,Yuta Shimizu,0-15,2-3,0-0,,Ad,Yuta Shimizu,Rudy Quan,2058469.0,,,Yuta Shimizu,2,1 - 4,0,1,2nd Serve In,T,Body,T,False,Near,80.0,2.0,24.0,235.0,Down the Line,Forehand,Wide Left,Wide Left,Down the Line,Forehand,Rudy Quan,Error,False,,,,0,0,2,3,0,15,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Ad: T,,,,,,UCLA,
"Set 1: 2-3, 0-30 Yuta Shimizu Serving",47,1,6,Rudy Quan,Yuta Shimizu,0-30,2-3,0-0,,Deuce,Yuta Shimizu,Rudy Quan,2092074.0,,,Yuta Shimizu,1,1 - 4,1,0,1st Serve In,Wide,Wide,,True,Near,-144.0,178.0,,,,,,,,,Yuta Shimizu,,False,,,,0,0,2,3,0,30,,,Ace,,,,,,,1st Serve In,Deuce: Wide,,,,,,UCLA,
"Set 1: 2-3, 0-40 Yuta Shimizu Serving",48,1,6,Rudy Quan,Yuta Shimizu,0-40,2-3,0-0,,Ad,Yuta Shimizu,Rudy Quan,2113699.0,,,Yuta Shimizu,3,1 - 4,0,1,2nd Serve In,Wide,T,Wide,False,Near,-147.0,172.0,141.0,235.0,Crosscourt,Backhand,,,Down the Line,Forehand,Yuta Shimizu,Winner,True,,,,0,0,2,3,0,40,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,UCLA,
