pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-30,0-0,0-0,,266074,,,,,2,Ad,Player1,Near,,,,,,,,,,88,512,Crosscourt,Backhand,,,,,,,,,,-77,-312,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,267313,,,,,3,Ad,Player1,Near,,,,,,,,,,-98,-464,Down the Line,Backhand,,,,,,,,,,-29,368,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,269433,,,,,4,Deuce,Player1,Near,,,,,,,,,,-37,490,Down the Line,Forehand,,,,,,,,,,-72,-325,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,270186,,,,,5,Ad,Player1,Near,,,,,,,,,,-96,-512,Down the Line,Backhand,,,,,,,,,,-29,424,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,272333,,,,,6,Deuce,Player1,Near,,,,,,,,,,-66,514,Down the Line,Forehand,,,,,,,,,,-152,-325,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,273296,,,,,7,Ad,Player1,Near,,,,,,,,,,-234,-536,Down the Line,Backhand,,,,,,,,,,-53,400,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,275538,,,,,8,Deuce,Player1,Near,,,,,,,,,,-88,488,Down the Line,Forehand,,,,,,,,,,-128,-320,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,276797,,,,,9,Ad,Player1,Near,,,,,,,,,,-162,-541,Crosscourt,Backhand,,,,,,,,,,77,336,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,277817,,,,,10,Ad,Player1,Near,,,,,,,,,,88,496,Crosscourt,Forehand,,,,,,,,,,-136,-277,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,279498,,,,,11,Ad,Player1,Near,,,,,,,,,,-266,-485,Down the Line,Backhand,,,,,,,,,,-61,165,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,281184,1,,,,12,Deuce,Player1,Near,,,,,,,,,,-50,365,Crosscourt,Forehand,,,,1,,,,,,120,-349,1,,,,,,,,,,,,,,,,,,,
