pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
30-30,0-0,0-0,,236005.0,,,,,6,Ad,Player1,Near,,,,,,,,,,8.0,490.0,Down the Line,Forehand,,,,,,,,,,80.0,-229.0,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,237482.0,,,,,7,Deuce,Player1,Near,,,,,,,,,,118.0,-528.0,Down the Line,Forehand,,,,,,,,,,72.0,352.0,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,238718.0,1.0,,,,8,Deuce,Player1,Near,,,,,,,,,,-16.0,498.0,Down the Line,Forehand,,,,,,,,,,-45.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
40-30,0-0,0-0,1.0,239957.0,,,,,1,Ad,Player1,Near,1.0,Body,59.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,266074.0,,,,,2,Ad,Player1,Near,,,,,,,,,,88.0,512.0,Crosscourt,Backhand,,,,,,,,,,-77.0,-312.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,267313.0,,,,,3,Ad,Player1,Near,,,,,,,,,,-98.0,-464.0,Down the Line,Backhand,,,,,,,,,,-29.0,368.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,269433.0,,,,,4,Deuce,Player1,Near,,,,,,,,,,-37.0,490.0,Down the Line,Forehand,,,,,,,,,,-72.0,-325.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,270186.0,,,,,5,Ad,Player1,Near,,,,,,,,,,-96.0,-512.0,Down the Line,Backhand,,,,,,,,,,-29.0,424.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,272333.0,,,,,6,Deuce,Player1,Near,,,,,,,,,,-66.0,514.0,Down the Line,Forehand,,,,,,,,,,-152.0,-325.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,273296.0,,,,,7,Ad,Player1,Near,,,,,,,,,,-234.0,-536.0,Down the Line,Backhand,,,,,,,,,,-53.0,400.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,275538.0,,,,,8,Deuce,Player1,Near,,,,,,,,,,-88.0,488.0,Down the Line,Forehand,,,,,,,,,,-128.0,-320.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,276797.0,,,,,9,Ad,Player1,Near,,,,,,,,,,-162.0,-541.0,Crosscourt,Backhand,,,,,,,,,,77.0,336.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,277817.0,,,,,10,Ad,Player1,Near,,,,,,,,,,88.0,496.0,Crosscourt,Forehand,,,,,,,,,,-136.0,-277.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,279498.0,,,,,11,Ad,Player1,Near,,,,,,,,,,-266.0,-485.0,Down the Line,Backhand,,,,,,,,,,-61.0,165.0,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,281184.0,1.0,,,,12,Deuce,Player1,Near,,,,,,,,,,-50.0,365.0,Crosscourt,Forehand,,,,1.0,,,,,,120.0,-349.0,1.0,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,1.0,281240.0,,,,1.0,1,Deuce,Player1,Near,0.0,Body,-93.0,265.0,1.0,T,-48.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
