pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
86,Rudy Quan,Youcef Rihane,40-0,4-1,1-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3634000.0,3630000.0,-4000.0,8,5-8,1,0,1st Serve In,Body,Body,,False,Far,70.72870735,-231.8923775,,,Down the Line,Backhand,,,Down the Line,Forehand,Youcef Rihane,Winner,Youcef Rihane,,False,,,2,1,0,4,1,40,0,,,6,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Winner,3.0,0.0,0.0,4.0,"Set 2: 4-1, 40-0 Rudy Quan Serving"
87,Rudy Quan,Youcef Rihane,40-15,4-1,1-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3665000.0,3657000.0,-8000.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,-41.60647966,-216.5195538,,,Down the Line,Forehand,,,Down the Line,Backhand,Youcef Rihane,Winner,Youcef Rihane,,False,,,2,1,0,4,1,40,15,,,6,1st Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Backhand,Winner,0.0,1.0,0.0,1.0,"Set 2: 4-1, 40-15 Rudy Quan Serving"
88,Rudy Quan,Youcef Rihane,0-0,4-2,1-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3688000.0,3677000.0,-11000.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,75.87103565,-205.846659,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,,False,,,2,1,0,4,2,0,0,,,7,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 4-2, 0-0 Rudy Quan Serving"
89,Rudy Quan,Youcef Rihane,15-0,4-2,1-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3711000.0,3712000.0,1000.0,11,9-12,1,0,1st Serve In,Wide,Wide,,False,Far,-135.5932305,-235.6348589,,,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,,False,,,2,1,0,4,2,15,0,,,7,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,1.0,2.0,4.0,3.0,"Set 2: 4-2, 15-0 Rudy Quan Serving"
90,Rudy Quan,Youcef Rihane,30-0,4-2,1-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3753000.0,3747000.0,-6000.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,106.1381124,-147.4626476,,,Down the Line,Forehand,Long,,Crosscourt,Backhand,Youcef Rihane,Error,Rudy Quan,,False,,,2,1,0,4,2,30,0,,,7,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,1.0,2.0,1.0,0.0,"Set 2: 4-2, 30-0 Rudy Quan Serving"
91,Rudy Quan,Youcef Rihane,40-0,4-2,1-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,3786000.0,3785000.0,-1000.0,10,9-12,1,0,1st Serve In,T,T,,False,Far,-51.91199694,-203.2682797,,,Crosscourt,Forehand,,,Crosscourt,Backhand,Youcef Rihane,Winner,Youcef Rihane,,False,,,2,1,0,4,2,40,0,,,7,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Winner,0.0,2.0,4.0,3.0,"Set 2: 4-2, 40-0 Rudy Quan Serving"
92,Rudy Quan,Youcef Rihane,0-0,5-2,1-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,3802000.0,3903000.0,101000.0,5,5-8,0,0,Double Fault,,Wide,,False,Near,201.0098535,-47.73301072,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Youcef Rihane,Winner,Youcef Rihane,,False,,,2,1,0,5,2,0,0,,,8,,,Down the Line,Backhand,,,,Double Fault,,,,Crosscourt,Forehand,,1.0,0.0,1.0,2.0,"Set 2: 5-2, 0-0 Youcef Rihane Serving"
93,Rudy Quan,Youcef Rihane,15-0,5-2,1-0,,Ad,Youcef Rihane,Rudy Quan,UCLA,Florida State University,3937000.0,3927000.0,-10000.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,-136.6494313,-164.6937937,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,,False,,,2,1,0,5,2,15,0,,,8,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,0.0,0.0,1.0,0.0,"Set 2: 5-2, 15-0 Youcef Rihane Serving"
94,Rudy Quan,Youcef Rihane,15-15,5-2,1-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,3957000.0,3947000.0,-10000.0,3,1-4,1,0,1st Serve In,Body,Body,,False,Far,95.188785,-227.3214403,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Youcef Rihane,Error,Rudy Quan,,False,,,2,1,0,5,2,15,15,,,8,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Error,0.0,0.0,1.0,0.0,"Set 2: 5-2, 15-15 Youcef Rihane Serving"
95,Rudy Quan,Youcef Rihane,15-30,5-2,1-0,,Ad,Youcef Rihane,Rudy Quan,UCLA,Florida State University,3983000.0,3973000.0,-10000.0,3,1-4,1,0,1st Serve In,Body,Body,,False,Far,-102.07097,-178.3143209,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Youcef Rihane,Error,Rudy Quan,,False,,,2,1,0,5,2,15,30,,,8,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,0.0,0.0,1.0,0.0,"Set 2: 5-2, 15-30 Youcef Rihane Serving"
96,Rudy Quan,Youcef Rihane,15-40,5-2,1-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,3999000.0,3996000.0,-3000.0,1,1-4,0,0,Double Fault,Body,T,Body,False,Far,48.01078303,-432.2805063,76.61402012,224.1957458,,,Net,,,,Youcef Rihane,,Rudy Quan,,True,,,2,1,0,5,2,15,40,,,8,,,,,,,,Double Fault,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 2: 5-2, 15-40 Youcef Rihane Serving"
