pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-40,1-3,0-0,,1431548,,,31,,5,Ad,Theo Dean,Near,,,,,,,,,,-210.0,-493.0,Down the Line,Backhand,,,,,,,,,,-39.0,398.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Deep
40-40,1-3,0-0,,1433344,,,31,,6,Deuce,Theo Dean,Near,,,,,,,,,,-31.0,477.0,Down the Line,Forehand,,,,,,,,,,-124.0,-342.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
40-40,1-3,0-0,,1433648,1.0,1435166.0,31,,7,Ad,Theo Dean,Near,,,,,,,,,,-154.0,-512.0,Down the Line,Backhand,,,,,,,,,,-45.0,-7.0,,,,1.0,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,Aadarsh Tripathi,1,,,
0-0,2-3,0-0,1.0,1526475,,,32,,1,Deuce,Aadarsh Tripathi,Near,1.0,Wide,-120.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,1st Serve In,Wide,
0-0,2-3,0-0,,1529230,,,32,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-72.0,554.0,Down the Line,Forehand,,,,,,,,,,-8.0,-338.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,2-3,0-0,,1530418,,,32,,3,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,48.0,-492.0,Down the Line,Forehand,,,,,,,,,,112.0,377.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
0-0,2-3,0-0,,1531753,,,32,,4,Ad,Aadarsh Tripathi,Near,,,,,,,,,,128.0,573.0,Down the Line,Backhand,,,,,,,,,,131.0,-300.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,2-3,0-0,,1533006,,,32,,5,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,59.0,-302.0,Down the Line,Forehand,,,,,,,,,,11.0,364.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
0-0,2-3,0-0,,1534456,,,32,,6,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-24.0,517.0,Crosscourt,Forehand,,,,,,,,,,77.0,-290.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,2-3,0-0,,1535712,,,32,,7,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,107.0,-537.0,Down the Line,Forehand,,,,,,,,,,102.0,359.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
0-0,2-3,0-0,,1536676,,,32,,8,Ad,Aadarsh Tripathi,Near,,,,,,,,,,158.0,511.0,Down the Line,Backhand,,,,,,,,,,120.0,-292.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,2-3,0-0,,1538115,,,32,,9,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,203.0,-524.0,Down the Line,Forehand,,,,,,,,,,107.0,185.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
0-0,2-3,0-0,,1539132,,,32,,10,Ad,Aadarsh Tripathi,Near,,,,,,,,,,69.0,330.0,Crosscourt,Backhand,,,,,,,,,,-69.0,-252.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,2-3,0-0,,1540321,,,32,,11,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-64.0,-516.0,Down the Line,Backhand,,,,,,,,,,-72.0,388.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
0-0,2-3,0-0,,1541713,,,32,,12,Ad,Aadarsh Tripathi,Near,,,,,,,,,,32.0,549.0,Down the Line,Forehand,,,,,,,,,,19.0,-287.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,1.0,,,,,,Short
0-0,2-3,0-0,,1543136,1.0,1544435.0,32,,13,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,80.0,-537.0,Crosscourt,Forehand,,,,,,,,,,-141.0,161.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,Aadarsh Tripathi,,,,Short
15-0,2-3,0-0,1.0,1587392,,,33,,1,Ad,Aadarsh Tripathi,Near,0.0,Body,83.0,300.0,1.0,Wide,110.0,119.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,2nd Serve In,Wide,
15-0,2-3,0-0,,1599468,1.0,1600417.0,33,,2,Ad,Aadarsh Tripathi,Near,,,,,,,,,,96.0,359.0,Down the Line,Backhand,,,,,,,,,,3.0,-530.0,,,,,1.0,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,Aadarsh Tripathi,1,,,Long
30-0,2-3,0-0,1.0,1624943,,,34,,1,Deuce,Aadarsh Tripathi,Near,1.0,Body,-88.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,1st Serve In,Body,
30-0,2-3,0-0,,1627843,,,34,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-133.0,565.0,Crosscourt,Backhand,,,,,,,,,,115.0,-92.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,1.0,,,,,,,Short
30-0,2-3,0-0,,1629178,1.0,1631988.0,34,,3,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,118.0,-121.0,Down the Line,Forehand,,,,1.0,,,1,,,134.0,524.0,,,,,1.0,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,Theo Dean,1,,,Long
30-15,2-3,0-0,1.0,1651782,,,35,,1,Ad,Aadarsh Tripathi,Near,1.0,T,32.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,1st Serve In,T,
30-15,2-3,0-0,,1654477,1.0,1656943.0,35,,2,Ad,Aadarsh Tripathi,Near,,,,,,,,,,43.0,530.0,Down the Line,Forehand,,,,,,,,,,283.0,-274.0,,,1.0,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,1.0,,Aadarsh Tripathi,1,,,
40-15,2-3,0-0,1.0,1684985,,,36,,1,Deuce,Aadarsh Tripathi,Near,0.0,T,-8.0,2.0,1.0,Body,-69.0,175.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,2nd Serve In,Body,
40-15,2-3,0-0,,1698024,,,36,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-45.0,389.0,Down the Line,Forehand,,,,,,,,,,-8.0,-324.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-15,2-3,0-0,,1699251,,,36,,3,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-45.0,-516.0,Crosscourt,Backhand,,,,,,,,,,8.0,404.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
40-15,2-3,0-0,,1700717,,,36,,4,Ad,Aadarsh Tripathi,Near,,,,,,,,,,75.0,511.0,Down the Line,Forehand,,,,,,,,,,45.0,-194.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,1.0,,,,,,Short
40-15,2-3,0-0,,1701780,,,36,,5,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,102.0,-350.0,Down the Line,Forehand,,,,1.0,,,,,,59.0,329.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
40-15,2-3,0-0,,1702693,,,36,,6,Ad,Aadarsh Tripathi,Near,,,,,,,,,,99.0,525.0,Down the Line,Backhand,,,,,,,,,,118.0,-55.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-15,2-3,0-0,,1705462,,,36,,7,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,120.0,-86.0,Crosscourt,Forehand,,1.0,,,,,1,,,-133.0,137.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
40-15,2-3,0-0,,1707163,,,36,,8,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-197.0,98.0,Down the Line,Forehand,,,,,,,,,,-120.0,-290.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-15,2-3,0-0,,1708912,1.0,1708922.0,36,,9,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-123.0,-340.0,Down the Line,Backhand,,,,,,,,,,-264.0,521.0,,,1.0,,1.0,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,Theo Dean,1,,,
40-30,2-3,0-0,1.0,1741597,,,37,,1,Ad,Aadarsh Tripathi,Near,1.0,Wide,107.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,1st Serve In,Wide,
40-30,2-3,0-0,,1744618,,,37,,2,Ad,Aadarsh Tripathi,Near,,,,,,,,,,136.0,583.0,Crosscourt,Backhand,,,,,,,,,,-43.0,-284.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-30,2-3,0-0,,1746094,,,37,,3,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-32.0,-537.0,Down the Line,Backhand,,,,,,,,,,-16.0,388.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
40-30,2-3,0-0,,1747547,,,37,,4,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-16.0,538.0,Crosscourt,Forehand,,,,,,,,,,19.0,-292.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-30,2-3,0-0,,1748495,,,37,,5,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-19.0,-569.0,Crosscourt,Backhand,,,,,,,,,,40.0,324.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
40-30,2-3,0-0,,1750339,,,37,,6,Ad,Aadarsh Tripathi,Near,,,,,,,,,,53.0,391.0,Down the Line,Forehand,,,,,,,,,,69.0,-330.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,1.0,,,,,,Short
40-30,2-3,0-0,,1751137,,,37,,7,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,139.0,-476.0,Crosscourt,Forehand,,,,,,,,,,-93.0,361.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
40-30,2-3,0-0,,1752450,,,37,,8,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-131.0,501.0,Crosscourt,Forehand,,,,,,,,,,72.0,-79.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-30,2-3,0-0,,1754279,,,37,,9,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,75.0,-340.0,Down the Line,Forehand,,,,1.0,,,,,,67.0,359.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
40-30,2-3,0-0,,1755548,,,37,,10,Ad,Aadarsh Tripathi,Near,,,,,,,,,,102.0,559.0,Crosscourt,Backhand,,,,,,,1.0,,,-43.0,-36.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
40-30,2-3,0-0,,1757507,,,37,,11,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-37.0,-38.0,Down the Line,Backhand,,1.0,,,,,1,,,-67.0,191.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
40-30,2-3,0-0,,1758495,,,37,,12,Ad,Aadarsh Tripathi,Near,,,,,,,,,,16.0,349.0,Crosscourt,Forehand,,,,,,,,,1.0,-61.0,-148.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,1.0,,,,,,,Short
40-30,2-3,0-0,,1761171,1.0,1761181.0,37,,13,Ad,Aadarsh Tripathi,Near,,,,,,,,,,-80.0,-113.0,Crosscourt,Forehand,,,1.0,,,,1,,,112.0,353.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,1.0,,,Aadarsh Tripathi,,,,Deep
0-0,3-3,0-0,1.0,1796663,,,38,,1,Deuce,Theo Dean,Far,0.0,T,43.0,-276.0,1.0,Body,91.0,-118.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,2nd Serve In,Body,
0-0,3-3,0-0,,1813401,1.0,1815305.0,38,,2,Deuce,Theo Dean,Far,,,,,,,,,,99.0,-316.0,Down the Line,Forehand,,,,,,,,,,80.0,580.0,,,,,1.0,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,Theo Dean,1,,,Long
15-0,3-3,0-0,1.0,1836166,,,39,,1,Ad,Theo Dean,Far,1.0,Wide,-117.0,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,1st Serve In,Wide,
15-0,3-3,0-0,,1839175,,,39,,2,Ad,Theo Dean,Far,,,,,,,,,,-123.0,-502.0,Crosscourt,Backhand,,,,,,,,,,99.0,81.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
15-0,3-3,0-0,,1840489,1.0,1842024.0,39,,3,Ad,Theo Dean,Far,,,,,,,,,,43.0,314.0,Down the Line,Backhand,,,,,,,,,,128.0,-316.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,Theo Dean,,,,Short
30-0,3-3,0-0,1.0,1861296,,,40,,1,Deuce,Theo Dean,Far,1.0,Body,99.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,1st Serve In,Body,
30-0,3-3,0-0,,1869554,,,40,,2,Deuce,Theo Dean,Far,,,,,,,,,,152.0,-513.0,Crosscourt,Forehand,,,,,,,,,,-37.0,193.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
30-0,3-3,0-0,,1870669,,,40,,3,Deuce,Theo Dean,Far,,,,,,,,,,-19.0,370.0,Crosscourt,Forehand,,,,,,,,,,69.0,-343.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
30-0,3-3,0-0,,1871681,,,40,,4,Deuce,Theo Dean,Far,,,,,,,,,,166.0,-558.0,Down the Line,Forehand,,,,,,,,,,85.0,231.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
30-0,3-3,0-0,,1872780,,,40,,5,Ad,Theo Dean,Far,,,,,,,,,,40.0,362.0,Crosscourt,Backhand,,,,,,,,,,-104.0,-356.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Deep
30-0,3-3,0-0,,1874001,1.0,1875323.0,40,,6,Ad,Theo Dean,Far,,,,,,,,,,-109.0,-513.0,Down the Line,Backhand,,,,,,,,,,-64.0,-76.0,,,,1.0,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,Theo Dean,1,,,
40-0,3-3,0-0,1.0,1902873,,,41,,1,Ad,Theo Dean,Far,1.0,Wide,-125.0,-172.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,1st Serve In,Wide,
40-0,3-3,0-0,,1911820,,,41,,2,Ad,Theo Dean,Far,,,,,,,,,,-232.0,-457.0,Crosscourt,Backhand,,,,,,,,,,48.0,135.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
40-0,3-3,0-0,,1913006,,,41,,3,Ad,Theo Dean,Far,,,,,,,,,,102.0,186.0,Down the Line,Forehand,,,,,1.0,,,1,,107.0,-114.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,1.0,,,,,,Short
40-0,3-3,0-0,,1916057,,,41,,4,Deuce,Theo Dean,Far,,,,,,,,,,120.0,-134.0,Crosscourt,Forehand,,,,,,,1,,1.0,-133.0,380.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Deep
40-0,3-3,0-0,,1918652,,,41,,5,Ad,Theo Dean,Far,,,,,,,,,,13.0,541.0,Down the Line,Forehand,,,,,,,1.0,,1.0,35.0,-103.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,1.0,,,,,,Short
