pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-15,0-0,0-0,,72988,,,2,,2,Ad,Theo Dean,Near,,,,,,,,,,171.0,493.0,Down the Line,Backhand,1.0,,,,,,,,,9.0,-164.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
0-15,0-0,0-0,,73192,,,2,,3,Deuce,Theo Dean,Near,,,,,,,,,,11.0,-117.0,Down the Line,Forehand,,1.0,,1.0,,,,1,,107.0,350.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,
0-15,0-0,0-0,,74212,,,2,,4,Ad,Theo Dean,Near,,,,,,,,,,161.0,493.0,Crosscourt,Backhand,,,,,,,,,1.0,-116.0,-92.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
0-15,0-0,0-0,,76194,1.0,76204.0,2,,5,Ad,Theo Dean,Near,,,,,,,,,,-132.0,-120.0,Crosscourt,Backhand,,,,,,,,1,,251.0,324.0,,1.0,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,Aadarsh Tripathi,1,,,
0-30,0-0,0-0,1.0,97603,,,3,,1,Deuce,Theo Dean,Near,0.0,Wide,-170.0,217.0,1.0,Body,-60.0,233.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,2nd Serve In,Body,
0-30,0-0,0-0,,111014,1.0,113383.0,3,,2,Deuce,Theo Dean,Near,,,,,,,,,,-58.0,480.0,Down the Line,Backhand,,,,,,,,,,-164.0,-316.0,,1.0,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,1.0,,Theo Dean,1,,,
15-30,0-0,0-0,1.0,136334,,,4,,1,Ad,Theo Dean,Near,0.0,Body,86.0,-15.0,1.0,T,46.0,177.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,2nd Serve In,T,
15-30,0-0,0-0,,152489,,,4,,2,Ad,Theo Dean,Near,,,,,,,,,,75.0,440.0,Crosscourt,Forehand,,,,,,,,,,-58.0,-321.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,1.0,,,,,,,Short
15-30,0-0,0-0,,154585,,,4,,3,Ad,Theo Dean,Near,,,,,,,,,,-92.0,-517.0,Down the Line,Forehand,,,,,,,,,,-98.0,406.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,1.0,,,,,,Deep
15-30,0-0,0-0,,154586,1.0,157698.0,4,,4,Deuce,Theo Dean,Near,,,,,,,,,,-138.0,501.0,Crosscourt,Forehand,,,,,,,,,,41.0,25.0,,,,1.0,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,Theo Dean,1,,,
30-30,0-0,0-0,1.0,183717,,,5,,1,Deuce,Theo Dean,Near,0.0,Wide,-170.0,209.0,1.0,Wide,-154.0,212.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,2nd Serve In,Wide,
