pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
81,Aadarsh Tripathi,Theo Dean,30-40,0-1,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,3873793.0,3891414.0,17621.0,8,5-8,1,0,1st Serve In,Body,Body,,False,Near,98.0,235.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Theo Dean,Error,Aadarsh Tripathi,,True,Aadarsh Tripathi,,2,0,1,0,1,30,40,,,2,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,1.0,0.0,2.0,3.0,"Set 2: 0-1, 30-40 Aadarsh Tripathi Serving"
82,Aadarsh Tripathi,Theo Dean,40-40,0-1,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,3913498.0,3917126.0,3628.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,42.0,219.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Aadarsh Tripathi,Error,Theo Dean,,True,,,2,0,1,0,1,40,40,,,2,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,0.0,0.0,0.0,1.0,"Set 2: 0-1, 40-40 Aadarsh Tripathi Serving"
83,Aadarsh Tripathi,Theo Dean,0-0,0-2,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,3950951.0,3970329.0,19378.0,7,5-8,1,0,1st Serve In,T,T,,False,Far,39.0,-189.0,,,Crosscourt,Backhand,,,Down the Line,Backhand,Theo Dean,Winner,Theo Dean,,False,,,2,0,1,0,2,0,0,,,3,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Backhand,Winner,1.0,0.0,2.0,3.0,"Set 2: 0-2, 0-0 Theo Dean Serving"
84,Aadarsh Tripathi,Theo Dean,15-0,0-2,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,3981926.0,4002394.0,20468.0,1,1-4,0,0,Double Fault,Body,T,Body,False,Far,-49.0,1.0,-76.0,-258.0,,,,,,,Theo Dean,,Aadarsh Tripathi,,False,,,2,0,1,0,2,15,0,,,3,,,,,,,,Double Fault,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-2, 15-0 Theo Dean Serving"
85,Aadarsh Tripathi,Theo Dean,15-15,0-2,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4018302.0,4038394.0,20092.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,111.0,-210.0,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,0,2,15,15,,,3,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-2, 15-15 Theo Dean Serving"
86,Aadarsh Tripathi,Theo Dean,30-15,0-2,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4046642.0,4053734.0,7092.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,-49.0,-231.0,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,0,2,30,15,,,3,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-2, 30-15 Theo Dean Serving"
87,Aadarsh Tripathi,Theo Dean,40-15,0-2,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4065536.0,4080905.0,15369.0,4,1-4,0,1,2nd Serve In,Body,T,Body,False,Far,2.0,-253.0,84.0,-119.0,Down the Line,Forehand,,,Down the Line,Forehand,Aadarsh Tripathi,Winner,Aadarsh Tripathi,,False,,,2,0,1,0,2,40,15,,,3,,,Down the Line,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Deuce: Body,,,,,,1.0,0.0,1.0,1.0,"Set 2: 0-2, 40-15 Theo Dean Serving"
88,Aadarsh Tripathi,Theo Dean,40-30,0-2,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4112483.0,4133047.0,20564.0,6,5-8,0,1,2nd Serve In,Wide,Body,Wide,False,Far,-52.0,-266.0,-129.0,-165.0,Crosscourt,Backhand,Net,,Down the Line,Backhand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,0,2,40,30,,,3,,,Crosscourt,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Wide,,,,,,0.0,1.0,2.0,1.0,"Set 2: 0-2, 40-30 Theo Dean Serving"
89,Aadarsh Tripathi,Theo Dean,0-0,0-3,0-1,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4231455.0,4243605.0,12150.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,75.0,-136.0,,,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Theo Dean,Error,Aadarsh Tripathi,,False,,,2,0,1,0,3,0,0,,,4,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-3, 0-0 Aadarsh Tripathi Serving"
90,Aadarsh Tripathi,Theo Dean,15-0,0-3,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4253561.0,4278757.0,25196.0,8,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Far,-31.0,-261.0,-111.0,-221.0,Down the Line,Backhand,Long,,Down the Line,Backhand,Theo Dean,Error,Aadarsh Tripathi,,False,,,2,0,1,0,3,15,0,,,4,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,1.0,2.0,2.0,1.0,"Set 2: 0-3, 15-0 Aadarsh Tripathi Serving"
